"","Site","Date","Turbidity","TSS","ChlA","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4","FCW_Number","Year","site_code","Lat","Long","location","Campaign","watershed","status","Buffer_Level","Watershed_Level","distance_upstream_km","season","Distance","Xdistance","order"
"151","Poudre Above Joe Wright",2021-11-05,NA,2.89,NA,2.82,0.47,7.45,273.76,35.64,2.1,0.02,0.64,0.61,2.6,0.05,0.83,1.24,0,3.69,1242,2021,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","19 - PJW",20,"20"
"152","JWC-Joe Wright @ Aspen Glen Campground",2021-11-05,NA,NA,NA,3.76,0.2,7.25,467.04,47.29,1.94,0.05,0.9,0.74,3.69,0.07,1.04,0.15,0,4.25,1241,2021,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","18 - JWC",19,"19"
"153","Poudre Below Rustic",2021-11-05,NA,NA,NA,4.06,0.25,7.35,396.57,53.84,3.7,0.03,1.04,1.16,4.25,0.05,1.69,0.35,0,4.75,1246,2021,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"FALL","21 - PBR",22,"22"
"154","Poudre Above North Fork",2021-11-05,NA,NA,NA,4.51,0.18,7.6,563.48,61.47,2.46,0.01,1.09,1.84,4.46,0.16,1.08,0.07,0,5.53,1249,2021,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"FALL","24 - PNF",25,"25"
"155","Poudre Below S. Fork",2021-11-05,NA,NA,NA,3.9,0.2,7.51,381.79,51.52,3.76,0.02,0.95,1.11,4.14,0.09,1.63,0.23,0,4.59,1245,2021,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"FALL","23 - PSF",24,"24"
"156","Poudre South Fork",2021-11-05,NA,NA,NA,2.81,0.26,7.59,359.06,39.13,3.22,0.01,0.6,0.71,2.6,0.08,0.69,0.52,0,2.95,1247,2021,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"FALL","22 - SFM",23,"23"
"157","Poudre Above Joe Wright",2021-11-29,NA,NA,NA,2.68,0.52,7.34,284.01,39.08,2.83,0.04,0.67,0.66,2.91,0.08,0.82,1.63,0,3.7,1264,2021,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","19 - PJW",20,"20"
"158","JWC-Joe Wright @ Aspen Glen Campground",2021-11-29,NA,NA,NA,3.84,0.18,6.99,439.46,51.8,2.18,0.03,0.98,0.85,4.34,0.06,1.13,0.03,0,4.4,1263,2021,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","18 - JWC",19,"19"
"159","Poudre Below Rustic",2021-11-29,NA,NA,NA,3.91,0.3,7.3,435.73,60.89,3.76,0.05,1.08,1.24,4.5,0.05,1.73,0.49,0,4.84,1266,2021,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"FALL","21 - PBR",22,"22"
"160","Poudre Below S. Fork",2021-11-29,NA,NA,NA,3.98,0.26,7.21,376.08,54.74,4.01,0.03,1.11,1.26,4.65,0.11,1.88,0.36,0,5.07,1268,2021,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"FALL","23 - PSF",24,"24"
"161","Poudre South Fork",2021-11-29,NA,NA,NA,2.71,0.29,7.58,360.91,38.94,2.94,0.05,0.61,0.74,2.69,0.08,0.68,0.55,0,2.99,1267,2021,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"FALL","22 - SFM",23,"23"
"162","Poudre Above North Fork",2021-12-03,NA,NA,NA,2.17,0.15,7.51,390.52,47.56,2.61,0.01,0.93,1.62,4.1,0.07,0.94,0.11,0,1.85,1280,2021,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"FALL","24 - PNF",25,"25"
"163","Poudre Above Joe Wright",2021-12-14,NA,0,NA,2.69,0.56,7.38,335.82,41.67,2.48,0.02,0.64,0.65,2.9,0.07,0.81,1.64,0,3.51,1282,2021,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","19 - PJW",20,"20"
"164","JWC-Joe Wright @ Aspen Glen Campground",2021-12-14,NA,NA,NA,3.91,0.25,7.52,482.43,56.7,2.09,0.01,0.91,0.84,4.12,0.06,1.13,0.05,0,4.57,1281,2021,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","18 - JWC",19,"19"
"165","Poudre Below Rustic",2021-12-14,NA,NA,NA,4.34,0.36,7.61,639.28,67.39,3.3,0.02,1.15,1.28,4.83,0.09,1.82,0.56,0,5.23,1284,2021,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"FALL","21 - PBR",22,"22"
"166","Poudre Below S. Fork",2021-12-14,NA,NA,NA,4.2,0.31,7.65,599.27,64.76,3.47,0.02,1.09,1.26,4.71,0.09,1.87,0.54,0,5.39,1287,2021,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"FALL","23 - PSF",24,"24"
"167","Poudre South Fork",2021-12-14,NA,NA,NA,2.72,0.28,6.73,363.75,38.82,2.87,0.02,0.61,0.74,2.74,0.14,0.71,0.6,0,3.15,1286,2021,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"FALL","22 - SFM",23,"23"
"168","Poudre South Fork",2022-01-28,NA,5.1,NA,2.88,0.32,6.78,400.84,51.47,3.6,0.04,0.59,1.76,3.2,0.06,0.82,0.84,0,3.21,1299,2022,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SPRING","22 - SFM",23,"23"
"169","JWC-Joe Wright @ Aspen Glen Campground",2022-02-03,NA,0.4,NA,4.54,0.3,7.11,513.6,81.14,2.44,0.06,1.08,4.16,9.86,0.06,1.31,0.29,0,5.81,1306,2022,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","18 - JWC",19,"19"
"170","Poudre Below Rustic",2022-02-03,NA,0.36,NA,4.53,0.39,7.31,662.08,85.17,3.82,0.05,1.21,3.09,8.48,0.07,1.99,0.79,0,5.47,1308,2022,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SPRING","21 - PBR",22,"22"
"171","Poudre Above Joe Wright",2022-02-03,NA,2,NA,3.02,0.6,7.26,349.18,49.62,3.06,0.05,0.71,1.11,6.2,0.05,0.84,1.5,0,3.17,1307,2022,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","19 - PJW",20,"20"
"172","Poudre Above North Fork",2022-02-03,NA,2.71,NA,5.09,0.34,7.46,785.22,115.26,4.81,0.04,1.15,4.41,14.01,0.06,3.13,0.73,0,6.25,1311,2022,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SPRING","24 - PNF",25,"25"
"173","Poudre Below S. Fork",2022-02-03,NA,18.92,NA,4.18,0.36,7.31,626.5,81.39,3.86,0.05,1.06,3.17,8.14,0.07,1.83,0.8,0,5.15,1309,2022,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SPRING","23 - PSF",24,"24"
"174","JWC-Joe Wright @ Aspen Glen Campground",2022-03-01,NA,0.6,NA,4.67,0.3,7.52,553.39,68.45,2.43,0.04,1.14,1.81,7.1,0.04,1.33,0.23,0,6.19,1318,2022,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","18 - JWC",19,"19"
"175","Poudre at Bellvue Diversion",2022-03-01,NA,23.4,NA,4.82,0.22,7.77,845,82.83,4.77,0.05,0.98,2.28,8.26,0.11,3.68,0.37,0,5.79,1328,2022,"PBD",40.663976,-105.215337,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,0,"SPRING","25 - PBD",26,"26"
"176","Poudre Below Rustic",2022-03-01,NA,6.67,NA,3.99,0.29,7.6,636.48,78.65,3.46,0.05,1.14,2.09,8.83,0.06,1.94,0.61,0,5.18,1324,2022,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SPRING","21 - PBR",22,"22"
"177","Poudre Above Joe Wright",2022-03-01,NA,2.8,NA,2.7,0.53,7.23,392.38,50.81,3.53,0.04,0.78,0.97,4.95,0.02,0.84,1.45,0,3.16,1319,2022,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","19 - PJW",20,"20"
"178","Poudre Above North Fork",2022-03-01,NA,43.8,NA,4.12,0.17,7.68,658.99,83.52,4.02,0.04,1,2.41,9.26,0.08,2.86,0.27,0,5.35,1327,2022,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SPRING","24 - PNF",25,"25"
"179","Poudre Below S. Fork",2022-03-01,NA,3.2,NA,3.57,0.26,7.48,554.39,69.35,3.62,0.03,1.01,1.75,7.02,0.07,1.82,0.54,0,4.83,1325,2022,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SPRING","23 - PSF",24,"24"
"180","JWC-Joe Wright @ Aspen Glen Campground",2022-03-28,NA,2.37,NA,4.59,0.24,7.46,542.11,75,2.96,0.04,1.21,1.26,9.24,0.03,2.19,0.28,0,7.78,1329,2022,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","18 - JWC",19,"19"
"181","Poudre at Bellvue Diversion",2022-03-28,NA,31.48,NA,5.16,0.25,7.68,823.26,106.28,5.06,0.06,1.1,2.9,14.51,0.12,4.1,0.24,0,7.23,1339,2022,"PBD",40.663976,-105.215337,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,0,"SPRING","25 - PBD",26,"26"
"182","Poudre Below Rustic",2022-03-28,NA,0.91,NA,4.1,0.46,7.44,587.97,76.83,3.72,0.04,1.1,1.92,7.85,0.06,2.12,1.34,0,5.91,1335,2022,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SPRING","21 - PBR",22,"22"
"183","Poudre Above Joe Wright",2022-03-28,NA,3.42,NA,3.03,0.88,7.12,365.37,52.07,2.76,0.05,0.91,0.98,5.28,0.03,1.06,3.51,0,3.98,1330,2022,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","19 - PJW",20,"20"
"184","Poudre Above North Fork",2022-03-28,NA,31.18,NA,4.11,0.34,7.55,663.68,90.36,3.69,0.04,1.07,2.15,8.68,0.07,2.98,0.78,0,6.01,1338,2022,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SPRING","24 - PNF",25,"25"
"185","Poudre Below S. Fork",2022-03-28,NA,19.18,NA,4.06,0.57,7.53,576.78,81.52,3.84,0.04,1.06,1.82,8.17,0.06,2.03,1.75,0,5.82,1336,2022,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SPRING","23 - PSF",24,"24"
"186","Poudre South Fork",2022-03-31,NA,34.34,NA,3.32,1.01,7.03,450.91,67.17,4.21,0.05,0.94,1.48,5.48,0.09,1.6,3.55,0,5.63,1343,2022,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SPRING","22 - SFM",23,"23"
"187","Poudre South Fork",2022-04-19,NA,22.47,NA,3.56,0.76,7.29,455.49,66.46,5.64,0.01,0.84,1.68,5.74,0.12,1.25,2.92,0,5.34,1351,2022,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SPRING","22 - SFM",23,"23"
"188","JWC-Joe Wright @ Aspen Glen Campground",2022-04-27,NA,0.54,NA,5.21,0.57,7.73,578.79,77.35,1.59,0.02,1.33,1.99,10.01,0.04,2,1.55,0,6.37,1361,2022,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","18 - JWC",19,"19"
"189","Poudre at Bellvue Diversion",2022-04-27,NA,42.91,NA,5.09,1.12,7.75,605.86,106,6.67,0.03,1.32,2.26,9.53,0.08,2.71,4.18,0,7.22,1371,2022,"PBD",40.663976,-105.215337,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,0,"SPRING","25 - PBD",26,"26"
"190","Poudre Below Rustic",2022-04-27,NA,12.66,NA,4.82,1.28,7.66,536.67,86.45,4.38,0.01,1.35,2.65,8.8,0.05,2,4.86,0,6.88,1367,2022,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SPRING","21 - PBR",22,"22"
"191","Poudre Above Joe Wright",2022-04-27,NA,2.52,NA,4.57,1.39,7.37,328.32,41.66,2.88,0.01,0.85,0.89,3.69,0.03,0.84,0.14,0,3.2,1362,2022,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","19 - PJW",20,"20"
"192","Poudre Above North Fork",2022-04-27,NA,27.81,NA,4.67,1.16,7.63,537.99,82.52,4.84,0.03,1.03,1.99,8.73,0.07,2.27,4.39,0,7.12,1370,2022,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SPRING","24 - PNF",25,"25"
"193","Poudre Below S. Fork",2022-04-27,NA,17.86,NA,4.92,1.26,7.62,522.14,84,3.85,0.03,1.34,2.66,8.16,0.05,1.93,4.73,0,6.85,1368,2022,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SPRING","23 - PSF",24,"24"
"194","Poudre South Fork",2022-05-13,NA,39.25,NA,4.23,0.86,6.97,512.08,63.87,4.89,0.01,0.88,1.74,5.61,0.08,1.21,1.22,0,5.44,1393,2022,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SPRING","22 - SFM",23,"23"
"195","JWC-Joe Wright @ Aspen Glen Campground",2022-05-16,NA,3.73,3.51,4.87,0.81,7.3,531.56,70.14,1.75,0.02,1.44,1.89,8.71,0.05,1.85,0.28,0,6.11,1394,2022,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","18 - JWC",19,"19"
"196","Poudre Below Rustic",2022-05-16,NA,113.86,1.29,5.09,0.96,7.59,485.8,76.91,3.78,0.02,1.1,2,7.45,0.04,2.12,0.6,0,7.21,1397,2022,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SPRING","21 - PBR",22,"22"
"197","Poudre at Bellvue Diversion",2022-05-16,NA,247.74,2.13,5.21,0.96,7.74,680.28,89.1,6.22,0.02,1.2,2.12,8.99,0.1,2.45,0.28,0,7.1,1400,2022,"PBD",40.663976,-105.215337,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,0,"SPRING","25 - PBD",26,"26"
"198","Poudre Above Joe Wright",2022-05-16,NA,14.9,1.02,5.19,1.04,7.28,293.28,39.74,2.78,0.03,0.8,0.7,4,0.06,0.86,0.18,0,3,1395,2022,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","19 - PJW",20,"20"
"199","Poudre Above North Fork",2022-05-16,NA,260.64,1.43,4.83,1.01,7.64,580.34,78.57,5.02,0.04,0.99,2.11,7.88,0.05,1.99,1.22,0,6.45,1399,2022,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SPRING","24 - PNF",25,"25"
"200","Poudre Below S. Fork",2022-05-16,NA,148.25,1.13,4.98,0.99,7.37,570.77,77.58,3.44,0.03,1.03,2.1,8,0.06,1.88,1.22,0,5.98,1398,2022,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SPRING","23 - PSF",24,"24"
"201","Sleeping Elephant",2022-05-16,NA,21.79,1.18,5.51,0.92,6.95,393.55,52.29,1.67,0.01,0.94,1.56,6.21,0.02,0.83,1.23,0,3.88,1396,2022,"SLEP",40.682439,-105.771986,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,73.161,"SPRING","20 - SLEP",21,"21"
"202","JWC-Joe Wright @ Aspen Glen Campground",2022-05-31,NA,5.4,4.38,3.99,0.71,7.29,482.58,59.06,1.91,0.05,1.04,1.78,6.6,0.02,1.33,0.27,0,4,1422,2022,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","18 - JWC",19,"19"
"203","Poudre at Bellvue Diversion",2022-05-31,NA,95.1,0.82,3.96,0.56,7.47,429.34,59.18,4.03,0.01,0.82,1.9,5.61,0.03,1.17,1.47,0,5.33,1430,2022,"PBD",40.663976,-105.215337,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,0,"SPRING","25 - PBD",26,"26"
"204","Poudre Below Rustic",2022-05-31,NA,38.3,0.96,4.06,0.6,7.31,368.45,52.15,1.91,0.01,0.85,2,5.45,0.02,1.89,1.55,0,5.37,1425,2022,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SPRING","21 - PBR",22,"22"
"205","Poudre Above Joe Wright",2022-05-31,NA,3.2,0.64,4.24,0.7,6.92,212.37,31.3,1.25,0.01,0.67,0.71,3.9,0.02,0.46,1.74,0,2.35,1423,2022,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","19 - PJW",20,"20"
"206","Poudre Above North Fork",2022-05-31,NA,21.31,0.87,3.98,0.56,7.25,474.36,59.57,3.87,0.04,0.82,1.94,5.18,0.03,0.99,1.49,0,3.26,1428,2022,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SPRING","24 - PNF",25,"25"
"207","Poudre Below S. Fork",2022-05-31,NA,24.4,1,3.96,0.57,6.94,397.14,52.14,1.74,0.01,0.8,2,4.91,0.02,0.84,1.42,0,3.11,1426,2022,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SPRING","23 - PSF",24,"24"
"208","Sleeping Elephant",2022-05-31,NA,3.8,2.02,4.13,0.61,7.04,312.24,45.07,1.54,0.01,0.81,1.5,5.13,0.02,0.8,1.51,0,3.02,1424,2022,"SLEP",40.682439,-105.771986,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,73.161,"SPRING","20 - SLEP",21,"21"
"209","Poudre Below Rustic",2022-06-07,NA,37.17,NA,4.15,0.62,7.23,292.92,51.47,2.21,0.02,0.8,2,5.05,0.02,1.45,1.02,0,4.34,1461,2022,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SPRING","21 - PBR",22,"22"
"210","Poudre Above Joe Wright",2022-06-07,NA,7.23,NA,4.49,0.67,6.98,212.99,32.2,1.33,0.02,0.7,0.66,3.87,0.02,0.37,0.69,0,2.23,1462,2022,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","19 - PJW",20,"20"
"211","Poudre Below S. Fork",2022-06-07,NA,77.5,NA,4.04,0.62,7,360.72,49.71,1.78,0.02,0.79,1.89,4.99,0.02,0.81,1.44,0,3.02,1460,2022,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SPRING","23 - PSF",24,"24"
"212","Poudre at Archery Range",2022-06-22,10.3,16.2,0.83,3.59,0.55,7.77,1119.11,261.29,8,0.09,1.23,6.85,32.62,0.17,6.96,1.3,0,46.52,1520,2022,"ARCH",40.5479138,-105.0011275,"Mainstem","Mainstem","CLP  Mainstem-Fort Collins","Partially Burned",NA,NA,NA,"SUMMER",NA,NA,NA
"213","Poudre at ELC",2022-06-22,11.55,15,1.13,3.66,0.46,7.23,880.51,164.56,6.33,0.07,1.02,4.15,18.2,0.04,5.49,1.03,0,23.21,1518,2022,"ELC",40.5519476,-105.0105977,"Mainstem","Mainstem","CLP  Mainstem-Fort Collins","Partially Burned",NA,NA,NA,"SUMMER",NA,NA,NA
"214","JWC-Joe Wright @ Aspen Glen Campground",2022-06-22,2.25,4.2,3.67,3.6,0.57,7.3,300.6,42.95,1.42,0.06,0.79,1.22,6.15,0.02,0.66,0.28,0,2.33,1523,2022,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SUMMER","18 - JWC",19,"19"
"215","Poudre at Legacy Bridge",2022-06-22,9.46,12.8,0.86,3.92,0.38,7.02,421,56.93,1.79,0.02,0.75,1.46,6.89,0.12,0.87,0.65,0,3.83,1513,2022,"LEGC",40.6006194,-105.0860344,"Mainstem","Mainstem","CLP  Mainstem-Fort Collins","Partially Burned",NA,NA,NA,"SUMMER",NA,NA,NA
"216","Poudre at Bellvue Diversion",2022-06-22,7.63,17.6,1.17,4.1,0.43,7.56,401.33,46,1.49,0.05,0.7,1.17,5.53,0.12,0.59,0.66,0,2.33,1512,2022,"PBD",40.663976,-105.215337,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,0,"SUMMER","25 - PBD",26,"26"
"217","Poudre Below Rustic",2022-06-22,5.98,7.8,1.17,3.77,0.42,7.28,255.06,39.05,1.4,0.02,0.75,1.15,5.6,0.01,0.47,0.65,0,2.52,1525,2022,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SUMMER","21 - PBR",22,"22"
"218","Poudre Above North Fork",2022-06-22,8.83,17.6,0.94,4.1,0.43,7.21,388.71,44.51,1.57,0.01,0.62,1.24,5.22,0.1,0.5,0.63,0,2.36,1510,2022,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SUMMER","24 - PNF",25,"25"
"219","Poudre at Timberline",2022-06-22,14.2,17.6,1.3,3.59,0.65,7.34,800.34,134.22,7.5,0.06,1,3.3,14.06,0.14,4.34,0.96,0,17.86,1515,2022,"TIMB",40.5754289,-105.0333903,"Mainstem","Mainstem","CLP  Mainstem-Fort Collins","Partially Burned",NA,NA,NA,"SUMMER",NA,NA,NA
"220","Sleeping Elephant",2022-06-27,5.15,2.6,NA,3.68,0.3,7.21,392.36,48.39,1.35,0.09,0.83,1.24,6.72,0.01,0.66,0.62,0,2.34,1537,2022,"SLEP",40.682439,-105.771986,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,73.161,"SUMMER","20 - SLEP",21,"21"
"221","Poudre South Fork",2022-06-29,2.94,4.63,0.83,3.38,0.2,7.06,201.16,23.63,1.39,0.03,0.37,0.66,2.7,0.12,0.28,0.36,0,1.06,1557,2022,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SUMMER","22 - SFM",23,"23"
"222","Poudre Below Rustic",2022-07-05,3847.3,4350.8,NA,3.66,0.37,7.22,312.97,51.23,1.45,0.02,2.44,2.05,6.42,0.01,0.71,0.48,0.66,3.28,1582,2022,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SUMMER","21 - PBR",22,"22"
"223","JWC-Joe Wright @ Aspen Glen Campground",2022-07-11,1.63,0.8,1.75,3.05,0.42,7.37,347.99,40.99,1.22,0.04,0.74,1.08,5.57,0.02,0.51,0.26,0,1.79,1600,2022,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SUMMER","18 - JWC",19,"19"
"224","Poudre at Bellvue Diversion",2022-07-11,8.1,18.6,1.02,3.18,0.25,7.67,465.99,58.23,2.11,0.04,0.73,1.64,7.5,0.15,1.3,0.35,0,3.05,1598,2022,"PBD",40.663976,-105.215337,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,0,"SUMMER","25 - PBD",26,"26"
"225","Poudre Below Rustic",2022-07-11,5.26,13,1.01,2.67,0.2,7.12,252.56,36.51,1.3,0.03,0.63,1.14,5.3,0.01,0.39,0.45,0,2.74,1595,2022,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SUMMER","21 - PBR",22,"22"
"226","Poudre Above Joe Wright",2022-07-11,2.97,2.6,0.62,3.32,0.34,7.02,244.31,37.67,0.99,0.02,0.49,1.07,5.35,0.02,0.26,0.63,0,3.94,1594,2022,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SUMMER","19 - PJW",20,"20"
"227","Poudre Above North Fork",2022-07-11,9.46,23.4,0.89,2.86,0.24,7.35,356.88,41.23,1.41,0.01,0.64,1.15,5.18,0.12,0.48,0.35,0,2.51,1597,2022,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SUMMER","24 - PNF",25,"25"
"228","Poudre Below S. Fork",2022-07-11,7.74,19.2,0.84,2.7,0.24,7.02,354.22,42.12,1.35,0.03,0.64,1.17,5.37,0.01,0.42,0.4,0,2.73,1596,2022,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SUMMER","23 - PSF",24,"24"
