"","Site","Date","Turbidity","TSS","ChlA","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4","FCW_Number","Year","site_code","Lat","Long","location","Campaign","watershed","status","Buffer_Level","Watershed_Level","distance_upstream_km","season","Distance","Xdistance","order"
"39","Poudre Above Joe Wright",2015-09-14,NA,NA,NA,2.09,0.2,7.56,349.1,39.8,2.07,0.02,0.56,0.96,4.18,0.16,0.34,0.34,0,3.09,80,2015,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","19 - PJW",20,"20"
"40","Poudre Above North Fork",2015-09-14,NA,NA,NA,4.68,0.26,7.45,699.7,79.7,3.9,0.04,1.01,2.25,9.3,0.17,2.1,0.43,0,4.31,73,2015,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"FALL","24 - PNF",25,"25"
"41","Poudre South Fork",2015-09-14,NA,NA,NA,2.21,0.2,7.82,587.32,65.2,3.15,0.03,0.89,1.8,6.99,0.15,1.07,0.37,0,3.26,78,2015,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"FALL","22 - SFM",23,"23"
"42","JWC-Joe Wright @ Aspen Glen Campground",2015-10-12,NA,NA,NA,2.64,0.13,7.8,618.24,62.3,2.38,0.02,0.94,1.51,7.96,0.07,0.97,0.03,0,2.24,82,2015,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","18 - JWC",19,"19"
"43","Poudre Below Rustic",2015-10-12,NA,NA,NA,1.83,0.11,7.85,682.37,74.5,3.57,0.03,1.11,2.17,7.9,0.15,2.44,0.04,0,3.75,86,2015,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"FALL","21 - PBR",22,"22"
"44","Poudre Above Joe Wright",2015-10-12,NA,NA,NA,1.91,0.13,7.62,374.21,45.5,2.26,0.02,0.62,1.11,4.77,0.15,0.54,0.17,0,3.49,85,2015,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","19 - PJW",20,"20"
"45","Poudre Above North Fork",2015-10-12,NA,NA,NA,2.17,0.12,7.96,897.5,98.2,5,0.05,1.12,2.77,10.71,0.2,3.66,0.09,0,5.04,81,2015,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"FALL","24 - PNF",25,"25"
"46","Poudre South Fork",2015-10-12,NA,NA,NA,2.1,0.09,7.84,660.53,72,3.54,0.03,0.92,1.94,7.2,0.16,1.52,0.01,0,3.51,84,2015,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"FALL","22 - SFM",23,"23"
"47","JWC-Joe Wright @ Aspen Glen Campground",2015-11-09,NA,NA,NA,2.69,0.15,7.85,710.02,74.5,3.11,0.02,1.17,1.71,9.27,0.08,1.36,0.13,0,2.41,90,2015,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","18 - JWC",19,"19"
"48","Poudre Below Rustic",2015-11-09,NA,NA,NA,1.67,0.13,7.88,694.41,75.6,3.96,0.03,1.2,2.27,8.01,0.13,1.94,0.27,0,3.65,93,2015,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"FALL","21 - PBR",22,"22"
"49","Poudre Above Joe Wright",2015-11-09,NA,NA,NA,1.9,0.24,7.65,394.29,45.1,2.88,0.02,0.89,1.14,4.65,0.13,0.55,0.69,0,2.44,95,2015,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"FALL","19 - PJW",20,"20"
"50","Poudre Above North Fork",2015-11-09,NA,NA,NA,1.87,0.2,8.02,1014.81,115.1,6.03,0.05,1.12,3.25,12.25,0.21,4.86,0.43,0,5.83,91,2015,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"FALL","24 - PNF",25,"25"
"51","Poudre South Fork",2015-11-09,NA,NA,NA,1.75,0.14,7.89,731.51,79.1,3.95,0.01,0.99,2.18,7.79,0.15,2.37,0.27,0,3.91,96,2015,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"FALL","22 - SFM",23,"23"
"52","Poudre Above North Fork",2020-11-16,NA,NA,NA,1.8,0.22,7.89,799.61,102.85,4.14,0.01,1.17,2.25,11.61,0.09,2.31,0.45,0,5.59,220,2020,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"FALL","24 - PNF",25,"25"
"53","Poudre Above Joe Wright",2021-04-07,1.9,9.52,NA,5.48,0.63,7.18,350.32,41.68,1.78,0.05,1.21,1.09,4.01,0.09,0.61,0.83,0,2.19,232,2021,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","19 - PJW",20,"20"
"54","JWC-Joe Wright @ Aspen Glen Campground",2021-04-07,NA,NA,NA,2.64,0.23,7.39,482.68,52,2.15,0.01,0.8,1.08,5.55,0.04,0.55,0.1,0,2.5,237,2021,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","18 - JWC",19,"19"
"55","Poudre Below Rustic",2021-04-07,NA,NA,NA,1.86,0.19,7.31,586.51,63.56,5.12,0.02,1.04,2.56,4.4,0.11,0.79,0.06,0.07,2.51,227,2021,"PBR",40.700221,-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,47.262,"SPRING","21 - PBR",22,"22"
"56","Poudre Above North Fork",2021-04-07,NA,NA,NA,4.44,0.74,7.82,1398.41,135.9,3.67,0.09,1.08,3.1,13.74,0.05,0.68,0.58,0,5.47,229,2021,"PNF",40.702459,-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,7.471,"SPRING","24 - PNF",25,"25"
"57","Poudre Below S. Fork",2021-04-07,NA,NA,NA,4.99,0.31,7.34,550.29,92.89,2.28,0,1.28,2.77,9.9,0.07,1.42,0.12,0,12.23,225,2021,"PSF",40.694953,-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,33.951,"SPRING","23 - PSF",24,"24"
"58","Poudre South Fork",2021-04-07,NA,NA,NA,6.44,0.52,7.36,404.05,50.82,3,0.08,0.78,1.29,5.01,0.08,0.76,0.61,0,3.56,238,2021,"SFM",40.61825,-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",NA,NA,53.476,"SPRING","22 - SFM",23,"23"
"59","Poudre Above Joe Wright",2021-04-12,1.5,0.98,NA,6.08,0.62,7.08,347.11,42.65,1.98,0.01,1.06,1.11,4.02,0.11,0.69,0.29,0,2.21,243,2021,"PJW",40.634567,-105.807017,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","19 - PJW",20,"20"
"60","JWC-Joe Wright @ Aspen Glen Campground",2021-04-12,NA,NA,NA,2.93,0.18,7.26,503.64,49.26,1.82,0.02,0.72,1.11,5.09,0.05,0.8,0.11,0,2.52,242,2021,"JWC",40.62055,-105.8183,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",NA,NA,80.916,"SPRING","18 - JWC",19,"19"
