Site,Date,Turbidity,TSS,ChlA,DOC,DTN,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,FCW_Number,Year,site_code,Lat,Long,location,Campaign,watershed,status,Buffer_Level,Watershed_Level,distance_upstream_km,season,Distance,Xdistance,order
Poudre Above North Fork,2/3/22,NA,2.71,NA,5.09,0.34,7.46,785.22,115.26,4.81,0.04,1.15,4.41,14.01,0.06,3.13,0.73,0,6.25,1311,2022,PNF,40.702459,-105.241588,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,7.471,SPRING,24 - PNF,25,25
Poudre Below S. Fork,2/3/22,NA,18.92,NA,4.18,0.36,7.31,626.5,81.39,3.86,0.05,1.06,3.17,8.14,0.07,1.83,0.8,0,5.15,1309,2022,PSF,40.694953,-105.448748,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,33.951,SPRING,23 - PSF,24,24
JWC-Joe Wright @ Aspen Glen Campground,3/1/22,NA,0.6,NA,4.67,0.3,7.52,553.39,68.45,2.43,0.04,1.14,1.81,7.1,0.04,1.33,0.23,0,6.19,1318,2022,JWC,40.62055,-105.8183,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,18 - JWC,19,19
Poudre at Bellvue Diversion,3/1/22,NA,23.4,NA,4.82,0.22,7.77,845,82.83,4.77,0.05,0.98,2.28,8.26,0.11,3.68,0.37,0,5.79,1328,2022,PBD,40.663976,-105.215337,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,0,SPRING,25 - PBD,26,26
Poudre Below Rustic,3/1/22,NA,6.67,NA,3.99,0.29,7.6,636.48,78.65,3.46,0.05,1.14,2.09,8.83,0.06,1.94,0.61,0,5.18,1324,2022,PBR,40.700221,-105.544028,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,47.262,SPRING,21 - PBR,22,22
Poudre Above Joe Wright,3/1/22,NA,2.8,NA,2.7,0.53,7.23,392.38,50.81,3.53,0.04,0.78,0.97,4.95,0.02,0.84,1.45,0,3.16,1319,2022,PJW,40.634567,-105.807017,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,19 - PJW,20,20
Poudre Above North Fork,3/1/22,NA,43.8,NA,4.12,0.17,7.68,658.99,83.52,4.02,0.04,1,2.41,9.26,0.08,2.86,0.27,0,5.35,1327,2022,PNF,40.702459,-105.241588,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,7.471,SPRING,24 - PNF,25,25
Poudre Below S. Fork,3/1/22,NA,3.2,NA,3.57,0.26,7.48,554.39,69.35,3.62,0.03,1.01,1.75,7.02,0.07,1.82,0.54,0,4.83,1325,2022,PSF,40.694953,-105.448748,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,33.951,SPRING,23 - PSF,24,24
JWC-Joe Wright @ Aspen Glen Campground,3/28/22,NA,2.37,NA,4.59,0.24,7.46,542.11,75,2.96,0.04,1.21,1.26,9.24,0.03,2.19,0.28,0,7.78,1329,2022,JWC,40.62055,-105.8183,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,18 - JWC,19,19
Poudre at Bellvue Diversion,3/28/22,NA,31.48,NA,5.16,0.25,7.68,823.26,106.28,5.06,0.06,1.1,2.9,14.51,0.12,4.1,0.24,0,7.23,1339,2022,PBD,40.663976,-105.215337,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,0,SPRING,25 - PBD,26,26
Poudre Below Rustic,3/28/22,NA,0.91,NA,4.1,0.46,7.44,587.97,76.83,3.72,0.04,1.1,1.92,7.85,0.06,2.12,1.34,0,5.91,1335,2022,PBR,40.700221,-105.544028,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,47.262,SPRING,21 - PBR,22,22
Poudre Above Joe Wright,3/28/22,NA,3.42,NA,3.03,0.88,7.12,365.37,52.07,2.76,0.05,0.91,0.98,5.28,0.03,1.06,3.51,0,3.98,1330,2022,PJW,40.634567,-105.807017,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,19 - PJW,20,20
Poudre Above North Fork,3/28/22,NA,31.18,NA,4.11,0.34,7.55,663.68,90.36,3.69,0.04,1.07,2.15,8.68,0.07,2.98,0.78,0,6.01,1338,2022,PNF,40.702459,-105.241588,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,7.471,SPRING,24 - PNF,25,25
Poudre Below S. Fork,3/28/22,NA,19.18,NA,4.06,0.57,7.53,576.78,81.52,3.84,0.04,1.06,1.82,8.17,0.06,2.03,1.75,0,5.82,1336,2022,PSF,40.694953,-105.448748,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,33.951,SPRING,23 - PSF,24,24
Beaver,3/31/22,NA,14.69,NA,2.8,0.78,6.84,330.16,50.96,3.44,0.06,0.77,1.02,4.41,0.03,1.13,3.03,0,3.9,1340,2022,BEAV,40.579336,-105.5940998,Stream,South Fork,CLP Tributary,Partially Burned,NA,NA,61.499,SPRING,17 - BEAV,18,18
Poudre South Fork,3/31/22,NA,34.34,NA,3.32,1.01,7.03,450.91,67.17,4.21,0.05,0.94,1.48,5.48,0.09,1.6,3.55,0,5.63,1343,2022,SFM,40.61825,-105.525583,Mainstem,South Fork,CLP Mainstem-Canyon,Partially Burned,NA,NA,53.476,SPRING,22 - SFM,23,23
Beaver,4/19/22,NA,5.61,NA,4.65,0.72,7.04,349.47,51.64,6.41,0.02,0.78,0.73,3.37,0.03,0.99,2.28,0,4.15,1348,2022,BEAV,40.579336,-105.5940998,Stream,South Fork,CLP Tributary,Partially Burned,NA,NA,61.499,SPRING,17 - BEAV,18,18
Poudre South Fork,4/19/22,NA,22.47,NA,3.56,0.76,7.29,455.49,66.46,5.64,0.01,0.84,1.68,5.74,0.12,1.25,2.92,0,5.34,1351,2022,SFM,40.61825,-105.525583,Mainstem,South Fork,CLP Mainstem-Canyon,Partially Burned,NA,NA,53.476,SPRING,22 - SFM,23,23
JWC-Joe Wright @ Aspen Glen Campground,4/27/22,NA,0.54,NA,5.21,0.57,7.73,578.79,77.35,1.59,0.02,1.33,1.99,10.01,0.04,2,1.55,0,6.37,1361,2022,JWC,40.62055,-105.8183,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,18 - JWC,19,19
Poudre at Bellvue Diversion,4/27/22,NA,42.91,NA,5.09,1.12,7.75,605.86,106,6.67,0.03,1.32,2.26,9.53,0.08,2.71,4.18,0,7.22,1371,2022,PBD,40.663976,-105.215337,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,0,SPRING,25 - PBD,26,26
Poudre Below Rustic,4/27/22,NA,12.66,NA,4.82,1.28,7.66,536.67,86.45,4.38,0.01,1.35,2.65,8.8,0.05,2,4.86,0,6.88,1367,2022,PBR,40.700221,-105.544028,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,47.262,SPRING,21 - PBR,22,22
Poudre Above Joe Wright,4/27/22,NA,2.52,NA,4.57,1.39,7.37,328.32,41.66,2.88,0.01,0.85,0.89,3.69,0.03,0.84,0.14,0,3.2,1362,2022,PJW,40.634567,-105.807017,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,19 - PJW,20,20
Poudre Above North Fork,4/27/22,NA,27.81,NA,4.67,1.16,7.63,537.99,82.52,4.84,0.03,1.03,1.99,8.73,0.07,2.27,4.39,0,7.12,1370,2022,PNF,40.702459,-105.241588,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,7.471,SPRING,24 - PNF,25,25
Poudre Below S. Fork,4/27/22,NA,17.86,NA,4.92,1.26,7.62,522.14,84,3.85,0.03,1.34,2.66,8.16,0.05,1.93,4.73,0,6.85,1368,2022,PSF,40.694953,-105.448748,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,33.951,SPRING,23 - PSF,24,24
Beaver,5/11/22,NA,8.04,NA,3.99,1.21,6.69,210.93,44.69,2.08,0.01,1,0.54,5.37,0.02,1,4.3,0,4.27,1388,2022,BEAV,40.579336,-105.5940998,Stream,South Fork,CLP Tributary,Partially Burned,NA,NA,61.499,SPRING,17 - BEAV,18,18
Poudre South Fork,5/13/22,NA,39.25,NA,4.23,0.86,6.97,512.08,63.87,4.89,0.01,0.88,1.74,5.61,0.08,1.21,1.22,0,5.44,1393,2022,SFM,40.61825,-105.525583,Mainstem,South Fork,CLP Mainstem-Canyon,Partially Burned,NA,NA,53.476,SPRING,22 - SFM,23,23
JWC-Joe Wright @ Aspen Glen Campground,5/16/22,NA,3.73,3.51,4.87,0.81,7.3,531.56,70.14,1.75,0.02,1.44,1.89,8.71,0.05,1.85,0.28,0,6.11,1394,2022,JWC,40.62055,-105.8183,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,18 - JWC,19,19
Poudre Below Rustic,5/16/22,NA,113.86,1.29,5.09,0.96,7.59,485.8,76.91,3.78,0.02,1.1,2,7.45,0.04,2.12,0.6,0,7.21,1397,2022,PBR,40.700221,-105.544028,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,47.262,SPRING,21 - PBR,22,22
Poudre at Bellvue Diversion,5/16/22,NA,247.74,2.13,5.21,0.96,7.74,680.28,89.1,6.22,0.02,1.2,2.12,8.99,0.1,2.45,0.28,0,7.1,1400,2022,PBD,40.663976,-105.215337,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,0,SPRING,25 - PBD,26,26
Poudre Above Joe Wright,5/16/22,NA,14.9,1.02,5.19,1.04,7.28,293.28,39.74,2.78,0.03,0.8,0.7,4,0.06,0.86,0.18,0,3,1395,2022,PJW,40.634567,-105.807017,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,19 - PJW,20,20
Poudre Above North Fork,5/16/22,NA,260.64,1.43,4.83,1.01,7.64,580.34,78.57,5.02,0.04,0.99,2.11,7.88,0.05,1.99,1.22,0,6.45,1399,2022,PNF,40.702459,-105.241588,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,7.471,SPRING,24 - PNF,25,25
Poudre Below S. Fork,5/16/22,NA,148.25,1.13,4.98,0.99,7.37,570.77,77.58,3.44,0.03,1.03,2.1,8,0.06,1.88,1.22,0,5.98,1398,2022,PSF,40.694953,-105.448748,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,33.951,SPRING,23 - PSF,24,24
Sleeping Elephant,5/16/22,NA,21.79,1.18,5.51,0.92,6.95,393.55,52.29,1.67,0.01,0.94,1.56,6.21,0.02,0.83,1.23,0,3.88,1396,2022,SLEP,40.682439,-105.771986,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,73.161,SPRING,20 - SLEP,21,21
Beaver,5/23/22,NA,6.27,NA,3.8,1,6.99,221.41,39.21,1.9,0.04,0.76,0.65,4.66,0.02,0.82,3.13,0,3.74,1408,2022,BEAV,40.579336,-105.5940998,Stream,South Fork,CLP Tributary,Partially Burned,NA,NA,61.499,SPRING,17 - BEAV,18,18
JWC-Joe Wright @ Aspen Glen Campground,5/31/22,NA,5.4,4.38,3.99,0.71,7.29,482.58,59.06,1.91,0.05,1.04,1.78,6.6,0.02,1.33,0.27,0,4,1422,2022,JWC,40.62055,-105.8183,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,18 - JWC,19,19
Poudre at Bellvue Diversion,5/31/22,NA,95.1,0.82,3.96,0.56,7.47,429.34,59.18,4.03,0.01,0.82,1.9,5.61,0.03,1.17,1.47,0,5.33,1430,2022,PBD,40.663976,-105.215337,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,0,SPRING,25 - PBD,26,26
Poudre Below Rustic,5/31/22,NA,38.3,0.96,4.06,0.6,7.31,368.45,52.15,1.91,0.01,0.85,2,5.45,0.02,1.89,1.55,0,5.37,1425,2022,PBR,40.700221,-105.544028,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,47.262,SPRING,21 - PBR,22,22
Poudre Above Joe Wright,5/31/22,NA,3.2,0.64,4.24,0.7,6.92,212.37,31.3,1.25,0.01,0.67,0.71,3.9,0.02,0.46,1.74,0,2.35,1423,2022,PJW,40.634567,-105.807017,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,19 - PJW,20,20
Poudre Above North Fork,5/31/22,NA,21.31,0.87,3.98,0.56,7.25,474.36,59.57,3.87,0.04,0.82,1.94,5.18,0.03,0.99,1.49,0,3.26,1428,2022,PNF,40.702459,-105.241588,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,7.471,SPRING,24 - PNF,25,25
Poudre Below S. Fork,5/31/22,NA,24.4,1,3.96,0.57,6.94,397.14,52.14,1.74,0.01,0.8,2,4.91,0.02,0.84,1.42,0,3.11,1426,2022,PSF,40.694953,-105.448748,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,33.951,SPRING,23 - PSF,24,24
Sleeping Elephant,5/31/22,NA,3.8,2.02,4.13,0.61,7.04,312.24,45.07,1.54,0.01,0.81,1.5,5.13,0.02,0.8,1.51,0,3.02,1424,2022,SLEP,40.682439,-105.771986,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,73.161,SPRING,20 - SLEP,21,21
Barnes Meadow Outflow,6/1/22,NA,0.56,6.27,5.17,0.55,7.19,468.61,64.68,2,0.02,1.22,1,8.03,0.01,1.56,0.72,0,7.07,1447,2022,BMD,40.60065,-105.836717,Outflow,Chambers Complex,Barnes Meadow Reservoir,Burned,0.18453004,0.449076849,84.049,SPRING,7,NA,11
Barnes Meadow Reservoir,6/1/22,NA,1.31,3.93,5.13,0.45,7.29,455.23,64.41,1.98,0.02,1.22,1.23,8.01,0.01,1.58,0.15,0,7.01,1446,2022,BRNR,40.599908,-105.830604,Reservoir,Chambers Complex,Barnes Meadow Reservoir,Burned,0.18453004,0.449076849,85.149,SPRING,6,7,10
Chambers Inlet,6/1/22,NA,2.74,0.35,3.19,0.41,7.26,399.35,52.17,1.82,0.03,0.84,1.33,6.1,0.06,1.13,1.11,0,3.2,1444,2022,CBRI,40.57795281,-105.8572773,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.11067458,90.13,SPRING,3 - CBRI,3,5
Chambers Reservoir,6/1/22,NA,5.3,10.23,3.7,0.64,7.32,425.4,55.35,1.91,0.02,1.13,0.68,7.11,0.07,1.27,1.91,0,3.88,1448,2022,CBRR,40.60438415,-105.8432698,Reservoir,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.191350672,87.814,SPRING,4 - CBRR,4,6
Chambers Outflow,6/1/22,NA,2.83,3.31,3.87,0.67,7.37,441.99,59.29,2.05,0.01,1.18,1.21,7.24,0.02,1.12,1.77,0,3.75,1449,2022,CHD,40.60233229,-105.8427286,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.191350672,86.049,SPRING,5 - CHD,5,7
Joe Wright Reservoir,6/1/22,NA,0.99,NA,3.4,0.36,7.15,339.03,46.24,1.64,0.02,0.69,1.31,5.77,0.02,1.25,0.67,0,2.91,1443,2022,JOER,40.55593744,-105.8749619,Reservoir,Chambers Complex,Joe Wright Reservoir,Partially Burned,0.006530549,0.048734263,93.218,SPRING,2 - JOER,2,4
Joe Wright Inlet,6/1/22,NA,0.1,0.11,3.22,0.24,7.25,409.22,49.65,1.53,0.01,0.6,1,6.38,0.03,0.83,0.33,0,3.91,1442,2022,JOEI,40.54013102,-105.8831698,Inflow,Chambers Complex,Joe Wright Reservoir,Unburned,0.006530549,0,95.264,SPRING,1 - JOEI,1,3
Beaver,6/6/22,NA,4.04,NA,3.01,0.63,6.87,130.94,25.21,1.36,0,0.55,0.59,3.47,0.02,0.42,1.62,0,1.89,1458,2022,BEAV,40.579336,-105.5940998,Stream,South Fork,CLP Tributary,Partially Burned,NA,NA,61.499,SPRING,17 - BEAV,18,18
Barnes Meadow Outflow,6/7/22,NA,0.21,3.83,5.18,0.5,7.04,383.93,59.87,2.2,0.02,1.29,0.96,7.8,0.02,1.65,0.49,0,6.79,1466,2022,BMD,40.60065,-105.836717,Outflow,Chambers Complex,Barnes Meadow Reservoir,Burned,0.18453004,0.449076849,84.049,SPRING,7,NA,11
Barnes Meadow Reservoir,6/7/22,NA,2.6,4.82,4.98,0.47,7.27,427.77,64.08,2.11,0.02,1.29,1.31,8.2,0.02,1.62,0.14,0,6.89,1467,2022,BRNR,40.599908,-105.830604,Reservoir,Chambers Complex,Barnes Meadow Reservoir,Burned,0.18453004,0.449076849,85.149,SPRING,6,7,10
Chambers Inlet,6/7/22,NA,15.14,1.82,3.32,0.47,7.14,333,48.13,1.9,0.03,0.8,1.28,6.05,0.06,1.09,1.08,0,3.05,1465,2022,CBRI,40.57795281,-105.8572773,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.11067458,90.13,SPRING,3 - CBRI,3,5
Chambers Reservoir,6/7/22,NA,3.83,11.03,3.48,0.54,7.46,381.75,53.61,1.94,0.02,1.12,0.76,7.88,0.07,1.21,1.54,0,3.75,1469,2022,CBRR,40.60438415,-105.8432698,Reservoir,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.191350672,87.814,SPRING,4 - CBRR,4,6
Chambers Outflow,6/7/22,NA,3.2,3.51,3.62,0.56,7.25,394.04,55.87,2,0.01,1.18,1.26,7.22,0.02,1.12,1.66,0,3.78,1470,2022,CHD,40.60233229,-105.8427286,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.191350672,86.049,SPRING,5 - CHD,5,7
Joe Wright Reservoir,6/7/22,NA,0.85,8.71,3.22,0.37,7.05,375.68,49.65,1.6,0.02,0.72,1.34,5.98,0.03,1.12,0.63,0,2.9,1464,2022,JOER,40.55593744,-105.8749619,Reservoir,Chambers Complex,Joe Wright Reservoir,Partially Burned,0.006530549,0.048734263,93.218,SPRING,2 - JOER,2,4
Poudre Below Rustic,6/7/22,NA,37.17,NA,4.15,0.62,7.23,292.92,51.47,2.21,0.02,0.8,2,5.05,0.02,1.45,1.02,0,4.34,1461,2022,PBR,40.700221,-105.544028,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,47.262,SPRING,21 - PBR,22,22
Poudre Above Joe Wright,6/7/22,NA,7.23,NA,4.49,0.67,6.98,212.99,32.2,1.33,0.02,0.7,0.66,3.87,0.02,0.37,0.69,0,2.23,1462,2022,PJW,40.634567,-105.807017,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SPRING,19 - PJW,20,20
Poudre Below S. Fork,6/7/22,NA,77.5,NA,4.04,0.62,7,360.72,49.71,1.78,0.02,0.79,1.89,4.99,0.02,0.81,1.44,0,3.02,1460,2022,PSF,40.694953,-105.448748,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,33.951,SPRING,23 - PSF,24,24
Joe Wright Inlet,6/7/22,NA,9.4,0.33,3.36,0.31,7.16,371.09,48.5,1.66,0.01,0.62,1.04,6.23,0.06,0.86,0.28,0,3.89,1463,2022,JOEI,40.54013102,-105.8831698,Inflow,Chambers Complex,Joe Wright Reservoir,Unburned,0.006530549,0,95.264,SPRING,1 - JOEI,1,3
Barnes Meadow Outflow,6/14/22,1.27,1.35,4.03,5.88,0.59,7.19,413.61,73.04,2.1,0.03,1.23,1.39,11.21,0.02,1.66,0.45,0,7.43,1485,2022,BMD,40.60065,-105.836717,Outflow,Chambers Complex,Barnes Meadow Reservoir,Burned,0.18453004,0.449076849,84.049,SUMMER,7,NA,11
Barnes Meadow Reservoir,6/14/22,44.51,49.4,5.35,6.02,0.45,7.34,471.24,66.9,2.33,0.03,1.3,1.19,9.55,0.02,1.51,0.1,0,7.09,1487,2022,BRNR,40.599908,-105.830604,Reservoir,Chambers Complex,Barnes Meadow Reservoir,Burned,0.18453004,0.449076849,85.149,SUMMER,6,7,10
Chambers Inlet,6/14/22,75.41,81.67,2.95,3.67,0.42,7.19,302.16,54.94,2.24,0.05,1.29,2.06,8.03,0.04,1.07,0.83,0,2.77,1484,2022,CBRI,40.57795281,-105.8572773,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.11067458,90.13,SUMMER,3 - CBRI,3,5
Chambers Reservoir,6/14/22,254.31,262.71,7.55,3.4,0.43,7.26,310.82,35.76,1.38,0.02,0.85,0.79,6.54,0.04,0.77,1.01,0,2.82,1488,2022,CBRR,40.60438415,-105.8432698,Reservoir,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.191350672,87.814,SUMMER,4 - CBRR,4,6
Chambers Outflow,6/14/22,6.51,7.4,7.05,3.39,0.55,7.26,324.75,45.42,1.48,0.06,0.91,1.19,5.83,0.04,0.96,1.11,0,2.94,1489,2022,CHD,40.60233229,-105.8427286,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.191350672,86.049,SUMMER,5 - CHD,5,7
Peterson Outlet,6/14/22,2.28,3.27,1.28,5.89,0.38,7.06,160.48,29.37,1.29,0.03,1.14,0.56,3.8,0.02,0.57,0.33,0,2.6,1479,2022,PTRO,40.56063874,-105.7929021,Outflow,Longdraw,Peterson Reservoir,Burned,0.32090379,0.305506264,91.236,SUMMER,999,NA,9
Peterson Reservoir,6/14/22,1.12,1.6,4.4,5.99,0.48,7.07,225.19,33.14,1.45,0.02,0.7,0.59,4.59,0.05,0.82,0.33,0,3.19,1480,2022,PTRR,40.55936515,-105.7940034,Reservoir,Longdraw,Peterson Reservoir,Burned,0.32090379,0.305506264,91.236,SUMMER,99,NA,8
Joe Wright Reservoir,6/14/22,4.51,5.1,2.53,3.29,0.34,7.14,387.05,54.41,2.15,0.07,1.26,1.22,7.73,0.03,0.9,0.81,0,2.67,1483,2022,JOER,40.55593744,-105.8749619,Reservoir,Chambers Complex,Joe Wright Reservoir,Partially Burned,0.006530549,0.048734263,93.218,SUMMER,2 - JOER,2,4
Joe Wright Inlet,6/14/22,7.89,9.59,0.02,3.89,0.45,7.12,255.33,39.21,1.63,0.01,1.01,1.09,4.83,0.05,0.73,0.73,0.24,2.9,1482,2022,JOEI,40.54013102,-105.8831698,Inflow,Chambers Complex,Joe Wright Reservoir,Unburned,0.006530549,0,95.264,SUMMER,1 - JOEI,1,3
Long Draw Outlet,6/14/22,NA,NA,1.73,4.2,0.59,7.1,201.25,35.54,0.93,0.01,0.59,0.99,5.02,0.1,0.19,0.73,0,4.21,1478,2022,LNGO,40.50368571,-105.7709459,Outflow,Longdraw,Long Draw Reservoir,Unburned,0,0,98.705,SUMMER,9,NA,2
Long Draw Reservoir,6/14/22,2.99,3.6,1.37,4.56,0.32,7.05,198.12,34.23,0.87,0.01,0.62,0.72,4.98,0.1,0.2,0.7,0,4.12,1477,2022,LNGR,40.50087627,-105.7725307,Reservoir,Longdraw,Long Draw Reservoir,Unburned,0,0,100.445,SUMMER,8,6,1
Beaver,6/21/22,7.56,4,NA,3.05,0.22,7,148.21,21.35,1.25,0.01,0.44,0.54,2.69,0.02,0.26,0.61,0,1.26,1495,2022,BEAV,40.579336,-105.5940998,Stream,South Fork,CLP Tributary,Partially Burned,NA,NA,61.499,SUMMER,17 - BEAV,18,18
Barnes Meadow Reservoir,6/22/22,13.17,7.6,2,6.68,0.45,7.44,422.31,75.67,2.27,0.06,1.29,1.65,11.23,0.02,1.68,0.38,0,7.72,1519,2022,BRNR,40.599908,-105.830604,Reservoir,Chambers Complex,Barnes Meadow Reservoir,Burned,0.18453004,0.449076849,85.149,SUMMER,6,7,10
Chambers Inlet,6/22/22,6,6.49,1.1,3.77,0.39,7.22,322.77,44.39,1.39,0.03,0.72,1.33,6.39,0.04,0.6,0.44,0,2.14,1517,2022,CBRI,40.57795281,-105.8572773,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.11067458,90.13,SUMMER,3 - CBRI,3,5
Chambers Reservoir,6/22/22,6.78,7.68,1.38,3.49,0.43,7.38,306.8,46.32,1.34,0.04,0.83,1.37,6.78,0.07,0.64,0.71,0,2.36,1521,2022,CBRR,40.60438415,-105.8432698,Reservoir,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.191350672,87.814,SUMMER,4 - CBRR,4,6
Chambers Outflow,6/22/22,3.51,2.6,3.76,3.42,0.44,7.37,319.01,45.77,1.42,0.09,0.84,1.26,6.67,0.05,0.65,0.79,0,2.32,1522,2022,CHD,40.60233229,-105.8427286,Outflow,Chambers Complex,Chambers Reservoir,Burned,0.329905336,0.191350672,86.049,SUMMER,5 - CHD,5,7
Poudre at Archery Range,6/22/22,10.3,16.2,0.83,3.59,0.55,7.77,1119.11,261.29,8,0.09,1.23,6.85,32.62,0.17,6.96,1.3,0,46.52,1520,2022,ARCH,40.5479138,-105.0011275,Mainstem,Mainstem,CLP  Mainstem-Fort Collins,Partially Burned,NA,NA,NA,SUMMER,NA,NA,NA
Poudre at ELC,6/22/22,11.55,15,1.13,3.66,0.46,7.23,880.51,164.56,6.33,0.07,1.02,4.15,18.2,0.04,5.49,1.03,0,23.21,1518,2022,ELC,40.5519476,-105.0105977,Mainstem,Mainstem,CLP  Mainstem-Fort Collins,Partially Burned,NA,NA,NA,SUMMER,NA,NA,NA
Joe Wright Reservoir,6/22/22,6.09,0.6,2.34,3.66,0.35,7.44,412.23,51.26,1.94,0.05,0.97,1.44,6.62,0.12,0.71,0.38,0,2.63,1514,2022,JOER,40.55593744,-105.8749619,Reservoir,Chambers Complex,Joe Wright Reservoir,Partially Burned,0.006530549,0.048734263,93.218,SUMMER,2 - JOER,2,4
JWC-Joe Wright @ Aspen Glen Campground,6/22/22,2.25,4.2,3.67,3.6,0.57,7.3,300.6,42.95,1.42,0.06,0.79,1.22,6.15,0.02,0.66,0.28,0,2.33,1523,2022,JWC,40.62055,-105.8183,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,80.916,SUMMER,18 - JWC,19,19
Poudre at Legacy Bridge,6/22/22,9.46,12.8,0.86,3.92,0.38,7.02,421,56.93,1.79,0.02,0.75,1.46,6.89,0.12,0.87,0.65,0,3.83,1513,2022,LEGC,40.6006194,-105.0860344,Mainstem,Mainstem,CLP  Mainstem-Fort Collins,Partially Burned,NA,NA,NA,SUMMER,NA,NA,NA
Poudre at Bellvue Diversion,6/22/22,7.63,17.6,1.17,4.1,0.43,7.56,401.33,46,1.49,0.05,0.7,1.17,5.53,0.12,0.59,0.66,0,2.33,1512,2022,PBD,40.663976,-105.215337,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,0,SUMMER,25 - PBD,26,26
Poudre Below Rustic,6/22/22,5.98,7.8,1.17,3.77,0.42,7.28,255.06,39.05,1.4,0.02,0.75,1.15,5.6,0.01,0.47,0.65,0,2.52,1525,2022,PBR,40.700221,-105.544028,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,47.262,SUMMER,21 - PBR,22,22
Poudre Above North Fork,6/22/22,8.83,17.6,0.94,4.1,0.43,7.21,388.71,44.51,1.57,0.01,0.62,1.24,5.22,0.1,0.5,0.63,0,2.36,1510,2022,PNF,40.702459,-105.241588,Mainstem,Mainstem,CLP Mainstem-Canyon,Partially Burned,NA,NA,7.471,SUMMER,24 - PNF,25,25
