Site,site_code,Date,Lat,Long,watershed,Watershed_Level,status,Turbidity,TSS,ChlA,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,DOC,DTN
Hourglass Reservoir,HORR,2022-06-29,40.582032,-105.6314023,Hourglass Reservoir,0.10162730589431843,Burned,0.41,0.82,1.93,7.09,142.35,19.12,0.99,0.03,0.34,0.52,2.29,0.07,0.24,0.21,0,0.82,2.95,0.17
Barnes Meadow Outflow,BMD,2022-07-05,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,7.02,1.4,1.35,7.4,516.07,79.17,2.21,0.25,1.27,1.52,10.47,0.07,1.78,0.65,0,7.68,6.09,1
Barnes Meadow Reservoir,BRNR,2022-07-05,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,14.33,31.8,5.04,7.68,516.16,78.31,2.26,0.06,1.27,1.52,10.87,0.02,1.69,0.3,0,7.6,6.64,0.45
Chambers Inlet,CBRI,2022-07-05,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,3.42,1.2,0.66,7.44,316.43,41.68,1.37,0.02,0.73,1.23,5.5,0.05,0.57,0.37,0,2.18,3.13,0.32
Chambers Reservoir,CBRR,2022-07-05,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,6.39,2.4,3.83,7.49,316.94,39.37,1.17,0.03,0.74,1.05,5.53,0.08,0.49,0.09,0,1.78,3.11,0.11
Chambers Outflow,CHD,2022-07-05,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,3.97,1.2,1.13,7.42,438.26,51.35,1.5,0.04,0.92,1.22,7,0.08,0.56,0.71,0,2.12,2.94,0.3
Peterson Reservoir,PTRO,2022-07-05,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,4.14,0.81,0.82,6.97,248.79,31.32,1.32,0.04,1.13,0.69,4.33,0.04,0.53,0.25,0,2.1,7.18,0.38
Peterson Outlet,PTRR,2022-07-05,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,2.73,0.4,0.62,7.21,300.54,35.56,1.35,0.05,1.14,0.67,4.43,0.02,0.52,0.25,0,2.11,6.76,0.35
Barnes Meadow Outflow,BMD,2022-07-12,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,4.5,0.67,0.8,7.3,538.51,78.45,2.31,0.23,1.2,1.46,10.23,0.06,1.72,0.34,0,7.6,6.26,0.82
Barnes Meadow Reservoir,BRNR,2022-07-12,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,4.5,0.67,3.67,7.44,522.91,75.67,2.11,0.04,1.24,1.34,10.22,0.02,1.54,0.24,0,7.44,6.43,0.41
Chambers Inlet,CBRI,2022-07-12,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,0.83,0.8,0.7,7.21,358.56,41.21,1.2,0.02,0.78,1.13,5.21,0.03,0.54,0.32,0,2.01,2.99,0.28
Chambers Reservoir,CBRR,2022-07-12,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,4.25,3,3.18,7.41,368.59,42.34,1.29,0.03,0.78,1.08,5.67,0.07,0.48,0.08,0,1.78,3,0.12
Chambers Outflow,CHD,2022-07-12,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,4.25,3,1.18,7.33,428.11,49.34,1.58,0.04,0.91,1.03,6.42,0.04,0.54,0.33,0,2.01,2.86,0.38
Peterson Outlet,PTRO,2022-07-12,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,0.44,2.4,2.02,7.04,310.99,37.69,1.42,0.04,1.19,0.72,4.78,0.02,0.5,0.12,0,2.1,7.14,0.4
Peterson Reservoir,PTRR,2022-07-12,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,0.9,0.6,0.62,7.03,256.31,34.55,1.31,0.03,1.18,0.73,4.56,0.03,0.54,0.13,0,2.03,7.06,0.39
Comanche Inflow,COMI,2022-07-18,40.5858963,-105.6626,Comanche Reservoir,0.173174601127291,Burned,2.61,2,0.58,7.01,175.41,19.77,1.04,0.01,0.3,0.45,2.3,0.02,0.15,0.48,0,0.6,3.12,0.36
Comanche Outflow,COMO,2022-07-18,40.5846048,-105.6440011,Comanche Reservoir,0.24966832476956524,Burned,8.74,4,5.1,6.93,194.56,21.71,1.08,0.05,0.34,0.48,2.43,0.02,0.17,0.23,0,0.72,3.45,0.21
Comanche Reservoir,COMR,2022-07-18,40.5853086,-105.6455009,Comanche Reservoir,0.24966832476956524,Burned,15.43,16.6,12.46,7.02,235,27.12,1.57,0.01,0.41,0.66,3.42,0.02,0.2,0.25,0,0.87,3.32,0.17
Hourglass Inflow,HORI,2022-07-18,40.5805091,-105.6409321,Hourglass Reservoir,0.05085114281168797,Burned,0.6,0.2,0.57,6.77,178.45,21.01,1.07,0.03,0.33,0.49,2.44,0.05,0.16,0.26,0,0.66,1.89,0.27
Hourglass Outflow,HORO,2022-07-18,40.5828742,-105.6309523,Hourglass Reservoir,0.10162730589431843,Burned,2.05,1.4,1.2,7,240.34,29.07,1.62,0.01,0.41,0.76,3.67,0.02,0.24,0.14,0,0.97,1.89,0.11
Hourglass Reservoir,HORR,2022-07-18,40.582032,-105.6314023,Hourglass Reservoir,0.10162730589431843,Burned,4.45,2,1.5,6.89,220.67,26.56,1.6,0.01,0.42,0.73,3.39,0.02,0.23,0.14,0,0.95,2.38,0.16
Barnes Meadow Outflow,BMD,2022-07-19,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,0.71,0.86,3.06,6.95,581.29,83.31,2.3,0.42,1.22,1.51,11.12,0.06,1.74,0.29,0,7.64,6.54,0.77
Barnes Meadow Reservoir,BRNR,2022-07-19,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,5.56,4.16,5.25,7.09,514.91,76.19,2.33,0.05,1.19,1.51,10.95,0.02,1.64,0.17,0,8.35,6.77,0.31
Chambers Inlet,CBRI,2022-07-19,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,7.8,0.37,0.83,7.08,424,48.78,1.58,0.02,0.69,1.24,6.68,0.03,0.59,0.3,0,1.97,3.1,0.24
Chambers Reservoir,CBRR,2022-07-19,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,15.41,13.6,2.62,7.19,335.23,38.63,1.12,0.07,0.54,0.84,5.16,0.06,0.35,0.09,0,1.39,3.1,0.17
Chambers Outflow,CHD,2022-07-19,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,5.46,4,2.4,7.26,445.65,48.19,1.39,0.06,0.81,1.04,6.23,0.02,0.44,0.43,0,1.7,3.06,0.31
Peterson Outlet,PTRO,2022-07-19,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,2.34,2.93,2.31,7.04,310.3,37.23,1.67,0.04,1.02,0.65,5.03,0.06,0.5,0.11,0,2.01,7.28,0.54
Peterson Reservoir,PTRR,2022-07-19,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,3.03,2.55,1.1,7.13,276.56,38.77,1.43,0.04,1.03,0.68,5.98,0.02,0.48,0.12,0,2.02,7.53,0.47
Barnes Meadow Outflow,BMD,2022-07-26,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,5.09,3.12,1.43,6.99,630.56,82.21,2.31,0.41,1.18,1.43,10.21,0.05,1.66,0.24,0,7.78,6.44,0.8
Barnes Meadow Reservoir,BRNR,2022-07-26,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,8.36,10.11,5.55,7.05,512.01,76.95,2.39,0.04,1.25,1.57,11.08,0.02,1.58,0.16,0,8.45,6.84,0.36
Chambers Inlet,CBRI,2022-07-26,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,6.5,5.4,0.81,6.94,421.23,50.63,1.61,0.02,0.74,1.33,6.89,0.04,0.53,0.22,0,2.22,2.75,0.3
Chambers Reservoir,CBRR,2022-07-26,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,22.08,17.4,2.83,7.15,362.37,41.86,1.23,0.03,0.68,1.03,5.34,0.06,0.38,0.08,0,1.49,2.81,0.23
Chambers Outflow,CHD,2022-07-26,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,11.39,11.2,2.79,7.15,479.75,47.55,1.41,0.04,0.8,0.98,6.03,0.02,0.51,0.41,0,1.84,2.74,0.41
Peterson Outlet,PTRO,2022-07-26,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,9.37,6.3,0.51,7.02,384.44,45.33,1.4,0.04,1.11,0.7,6.64,0.02,0.67,0.09,0.31,2.62,6.95,0.74
Peterson Reservoir,PTRR,2022-07-26,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,9.3,8,0.92,7.05,329.34,42.57,1.49,0.04,1.06,0.75,5.16,0.02,0.51,0.18,0,1.94,6.79,0.3
Barnes Meadow Outflow,BMD,2022-08-02,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,6.28,6.2,0.87,6.98,593.33,81.94,2.31,0.46,1.23,1.46,10.21,0.02,1.72,0.21,0,6.56,6.25,0.92
Barnes Meadow Reservoir,BRNR,2022-08-02,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,6.2,7.6,4.9,7.16,648.9,91.4,2.41,0.04,1.27,1.53,10.88,0.03,1.6,0.05,0,8.1,6.97,0.51
Chambers Inlet,CBRI,2022-08-02,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,5.37,4.2,0.85,6.95,489.07,52.14,1.72,0.01,0.77,1.29,6.89,0.04,0.57,0.24,0,2.34,2.72,0.27
Chambers Reservoir,CBRR,2022-08-02,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,12.03,10.4,3.33,7.14,438.61,44.54,1.34,0.03,0.75,1.06,5.67,0.04,0.42,0.07,0,1.89,2.77,0.18
Chambers Outflow,CHD,2022-08-02,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,5.02,5.2,3.05,7.14,437.01,52.57,1.77,0.04,0.9,1.26,7.56,0.02,0.53,0.33,0,2,2.79,0.36
Peterson Outlet,PTRO,2022-08-02,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,2.05,1.8,0.82,6.95,423.38,47.89,1.42,0.02,1.14,0.72,5.99,0.02,0.52,0.12,0,2.55,6.6,0.4
Peterson Reservoir,PTRR,2022-08-02,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,12.8,12.2,2.4,6.94,305.8,37.91,1.52,0.04,1.08,0.74,5.39,0.02,0.5,0.17,0,2.06,6.94,0.38
Barnes Meadow Outflow,BMD,2022-08-09,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,5.04,5.06,1.86,6.92,597.05,81.22,2.33,0.53,1.31,1.45,10.6,0.01,1.74,0.22,0,5.97,6.54,0.92
Barnes Meadow Reservoir,BRNR,2022-08-09,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,4.16,10.5,2.01,7.13,580.13,81.09,2.39,0.05,1.27,1.43,10.24,0.07,1.63,0.03,0.28,7.31,6.55,0.49
Chambers Inlet,CBRI,2022-08-09,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,7.09,6.33,0.64,7.01,460.04,53.75,1.78,0.01,0.79,1.26,6.89,0.09,0.59,0.22,0,2.43,2.74,0.22
Chambers Reservoir,CBRR,2022-08-09,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,3.28,3.87,1.94,7.11,389.75,45.89,1.42,0.02,0.83,1.1,6.42,0.07,0.5,0.04,0,2.19,2.59,0.2
Chambers Outflow,CHD,2022-08-09,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,4.33,3.56,1.71,7.08,541.61,59.23,1.87,0.04,1.03,1.22,8.28,0.04,0.54,0.2,0,2.38,2.48,0.26
Peterson Outlet,PTRO,2022-08-09,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,0.67,0.99,1.57,6.99,306.48,37.48,1.4,0.03,1.14,0.65,4.58,0.03,0.47,0.14,0,2.4,6.5,0.32
Peterson Reservoir,PTRR,2022-08-09,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,2.56,4,2.07,6.91,249.42,38.14,1.41,0.05,1.07,0.68,5.44,0.04,0.43,0.11,0,2.19,6.58,0.2
Barnes Meadow Outflow,BMD,2022-08-16,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,7.21,3.96,0.72,6.98,583.66,81.85,2.31,0.59,1.29,1.42,10.84,0.03,1.71,0.22,0,5.66,6.52,0.99
Barnes Meadow Reservoir,BRNR,2022-08-16,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,4.61,10.56,2.47,7.14,549.49,76.99,2.42,0.01,1.3,1.35,9.19,0.06,1.68,0.09,0,7.26,6.37,0.27
Chambers Inlet,CBRI,2022-08-16,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,5.4,5.3,3.63,7.09,370.03,45.9,1.44,0.04,0.72,1.23,6.21,0.1,0.61,0.39,0,2.78,2.84,0.27
Chambers Reservoir,CBRR,2022-08-16,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,1.39,0.96,4.21,7.13,384.3,47.62,1.39,0.02,0.78,1.08,7.1,0.04,0.44,0.04,0,2.09,2.61,0.06
Chambers Outflow,CHD,2022-08-16,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,6.59,5.18,2.58,7.05,377.49,49.86,1.49,0.02,0.86,1.15,7.17,0.06,0.55,0.26,0,2.18,2.86,0.33
Peterson Outlet,PTRO,2022-08-16,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,5.1,4.92,2.3,6.97,326.59,37.88,1.55,0.03,1.16,0.73,4.89,0.07,0.47,0.08,0,2.27,6.68,0.36
Peterson Reservoir,PTRR,2022-08-16,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,39.44,44.44,2.8,6.98,233.81,38.3,1.56,0.03,1.15,0.74,5.28,0.03,0.49,0.33,0,2.31,6.58,0.29
Barnes Meadow Outflow,BMD,2022-08-23,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,199.46,135.45,20.56,6.91,603.41,76.98,2.19,0.54,1.2,1.36,9.28,0.02,1.68,0.39,0,4.74,6.32,0.93
Barnes Meadow Reservoir,BRNR,2022-08-23,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,5.1,4.21,2.21,6.94,527.46,69.11,1.97,0.05,0.99,1.05,9.07,0.02,1.56,0.1,0,6.67,6.42,0.25
Chambers Inlet,CBRI,2022-08-23,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,2.21,1.45,0.56,6.92,450.68,52.98,1.49,0.04,0.65,0.93,7.5,0.06,0.63,0.31,0,2.29,2.63,0.2
Chambers Reservoir,CBRR,2022-08-23,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,0.38,0.4,1.6,6.92,412.73,43.86,1.16,0.07,0.62,0.79,5.55,0.02,0.35,0.03,0,1.96,2.53,0.09
Chambers Outflow,CHD,2022-08-23,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,1.75,0.5,1.34,7.08,437.56,41.89,1.16,0.07,0.59,0.78,5.07,0.02,0.44,0.09,0,1.92,2.49,0.26
Peterson Outlet,PTRO,2022-08-23,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,6.99,6.2,2.52,6.98,290.29,34.69,1.37,0.05,0.93,0.55,4.38,0.02,0.54,0.31,0,2.11,6.09,0.65
Peterson Reservoir,PTRR,2022-08-23,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,8.29,6.9,2.35,7.01,233.26,35.03,1.49,0.05,0.98,0.76,4.73,0.04,0.59,0.37,0,2.3,6.11,0.37
Barnes Meadow Reservoir,BRNR,2022-08-25,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,6.95,6.43,2.62,6.89,544.92,71.26,1.92,0.09,0.92,1.08,8.96,0.04,1.67,0.09,0,6.97,6.6,0.24
Chambers Inlet,CBRI,2022-08-25,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,2.39,1.26,0.57,6.97,495.92,51.91,1.47,0.04,0.61,0.93,7.76,0.06,0.68,0.31,0,2.3,2.7,0.21
Chambers Reservoir,CBRR,2022-08-25,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,4.83,5.32,1.39,6.96,381.09,39.92,1.12,0.06,0.54,0.76,5.02,0.06,0.51,0.03,0,2.04,2.47,0.09
Chambers Outflow,CHD,2022-08-25,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,2.41,2.47,0.55,6.95,374.02,40.23,1.12,0.06,0.56,0.79,5.02,0.06,0.53,0.23,0,2.06,2.67,0.12
Barnes Meadow Outflow,BMD,2022-08-30,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,6.33,3.37,0.89,6.93,543.56,73.96,2.11,0.51,1.26,1.38,9.44,0.03,1.69,0.33,0,4.78,5.99,0.79
Barnes Meadow Reservoir,BRNR,2022-08-30,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,5.48,3.96,1.11,6.95,507.52,69.7,1.88,0.04,0.95,1.03,8.77,0.03,1.6,0.1,0,6.77,6.23,0.24
Chambers Inlet,CBRI,2022-08-30,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,16.46,15.59,0.5,6.95,438.92,51.1,1.53,0.03,0.72,1.02,7.8,0.05,0.7,0.33,0,2.33,2.36,0.22
Chambers Reservoir,CBRR,2022-08-30,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,4.24,3.89,0.72,6.94,379.8,39.01,1.14,0.04,0.5,0.76,4.97,0.03,0.42,0.02,0,2.21,2.55,0.1
Chambers Outflow,CHD,2022-08-30,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,5.46,5,0.97,6.93,406.82,41.58,1.08,0.04,0.58,0.72,4.88,0.03,0.54,0.22,0,1.99,2.49,0.15
Peterson Outlet,PTRO,2022-08-30,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,8.98,8.4,3.69,6.94,325.53,37.75,1.36,0.03,0.99,0.59,4.41,0.03,0.56,0.32,0,2.01,5.54,0.41
Peterson Reservoir,PTRR,2022-08-30,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,9.23,6.77,3.3,7.03,314.46,37.58,1.43,0.03,0.95,0.69,4.78,0.03,0.63,0.4,0,2.32,5.3,0.45
Comanche Inflow,COMI,2022-08-31,40.5858963,-105.6626,Comanche Reservoir,0.173174601127291,Burned,0.35,0.4,1.2,6.97,173.18,19.19,0.98,0.02,0.27,0.47,2.23,0.02,0.13,0.22,0,0.58,2.34,0.5
Comanche Outflow,COMO,2022-08-31,40.5846048,-105.6440011,Comanche Reservoir,0.24966832476956524,Burned,2.73,3.2,2.86,6.95,305.49,27.48,1.31,0.02,0.44,0.67,3,0.02,0.16,0.11,0,0.4,2.7,0.2
Comanche Reservoir,COMR,2022-08-31,40.5853086,-105.6455009,Comanche Reservoir,0.24966832476956524,Burned,5.75,3.53,1.91,6.99,288.59,32.66,1.7,0.01,0.54,0.72,4.56,0.02,0.22,0.11,0,0.89,2.64,0.22
Hourglass Inflow,HORI,2022-08-31,40.5805091,-105.6409321,Hourglass Reservoir,0.05085114281168797,Burned,0.96,1.1,0.43,6.82,138.2,17.98,0.98,0.02,0.29,0.44,2.21,0.03,0.11,0.15,0,0.7,1.32,0.38
Hourglass Reservoir,HORR,2022-08-31,40.582032,-105.6314023,Hourglass Reservoir,0.10162730589431843,Burned,5.22,4.2,4.09,6.97,330.57,32.61,1.78,0.02,0.49,0.75,3.81,0.02,0.18,0.09,0,0.89,2.71,0.21
Barnes Meadow Outflow,BMD,2022-09-06,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,8.01,3.86,1.01,6.95,668.69,85.91,2.18,0.66,1.24,1.64,10.89,0.02,1.19,0.1,0,4.75,6.39,0.63
Barnes Meadow Reservoir,BRNR,2022-09-06,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,2.29,2.3,1.11,7.1,637.32,79.76,2.48,0.06,1.26,1.66,10.6,0.02,1.2,0.04,0,5.89,6.12,0.31
Chambers Inlet,CBRI,2022-09-06,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,0.71,0.6,0.42,7.07,493.59,55.83,1.72,0.02,0.78,1.28,7.88,0.06,0.5,0.31,0,2.19,2.67,0.37
Chambers Reservoir,CBRR,2022-09-06,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,5.08,6.15,0.86,6.91,445.44,48.29,1.51,0.05,0.81,1.18,5.96,0.03,0.39,0.02,0,2.11,2.68,0.14
Chambers Outflow,CHD,2022-09-06,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,0.68,0.3,1.44,6.91,479.33,51.23,1.7,0.03,0.98,1.26,6.79,0.05,0.59,0.21,0,2.61,2.66,0.29
Peterson Outlet,PTRO,2022-09-06,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,8.9,8.94,5.46,6.96,389.74,42.56,1.69,0.03,1.26,0.69,5.43,0.02,0.46,0.02,0,2.16,4.97,0.44
Peterson Reservoir,PTRR,2022-09-06,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,8.21,8.2,2.73,6.94,404.3,45.27,2.21,0.02,1.2,0.9,5.14,0.02,0.44,0.19,0,2.09,4.61,0.28
Barnes Meadow Outflow,BMD,2022-09-13,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,5.65,3.33,0.74,7.07,704.85,90.63,2.39,0.71,1.39,1.61,12.21,0.04,1.71,0.17,0.15,4.37,6.59,0.57
Barnes Meadow Reservoir,BRNR,2022-09-13,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,2.43,2.12,0.95,7.14,629.14,82.13,2.44,0.01,1.39,1.61,11.24,0.05,1.62,0.07,0,6.97,5.72,0.35
Chambers Inlet,CBRI,2022-09-13,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,0.28,0.3,0.56,6.95,471.5,53.85,1.82,0.04,0.83,1.32,6.83,0.07,0.7,0.35,0,2.77,2.52,0.21
Chambers Reservoir,CBRR,2022-09-13,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,0.67,0.6,0.97,6.94,503.2,54.52,1.56,0.02,0.86,1.23,7.03,0.09,0.54,0.12,0,2.77,2.48,0.22
Chambers Outflow,CHD,2022-09-13,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,0.48,0.2,5.24,6.94,485.58,55.72,1.43,0.09,0.84,1.3,7.57,0.06,0.54,0.12,0,2.55,2.66,0.27
Peterson Outlet,PTRO,2022-09-13,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,8.4,8.67,4.28,7.07,535.49,56.6,2.47,0.01,1.26,0.91,6.06,0.05,0.61,0.04,0,2.57,4.1,0.23
Peterson Reservoir,PTRR,2022-09-13,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,9.57,7.95,3.19,6.96,423.83,47.19,2.29,0.02,1.16,0.83,5.93,0.04,0.59,0.1,0,2.34,3.75,0.12
Barnes Meadow Reservoir,BRNR,2022-09-19,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,1.72,2.16,1.69,7.06,633.62,82.81,2.43,0.01,1.34,1.66,11.82,0.05,1.65,0.07,0,6.96,5.6,0.36
Chambers Inlet,CBRI,2022-09-19,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,3.84,2.8,0.68,7.06,459.18,54.94,1.51,0.03,0.73,1.39,6.97,0.06,0.67,0.46,0,3,3.11,0.23
Chambers Reservoir,CBRR,2022-09-19,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,11.84,10.84,0.84,7.07,496.3,55.45,1.58,0.02,0.85,1.27,7.62,0.05,0.56,0.13,0,2.69,2.49,0.12
Chambers Outflow,CHD,2022-09-19,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,0.89,0.3,0.96,6.98,496.62,54.27,1.57,0.02,0.85,1.27,6.99,0.06,0.56,0.15,0,2.72,2.55,0.19
Barnes Meadow Outflow,BMD,2022-09-20,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,2.23,3.46,0.84,6.81,828.15,98.31,2.4,0.69,1.33,1.66,14.16,0.03,1.73,0.22,0.1,3.91,5.96,0.65
Barnes Meadow Reservoir,BRNR,2022-09-20,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,1.25,2.08,1.79,6.9,642.4,82.54,2.42,0.03,1.29,1.63,11.92,0.05,1.69,0.07,0,7.03,5.79,0.32
Chambers Inlet,CBRI,2022-09-20,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,1.77,1.25,0.77,6.9,442.8,52.05,1.48,0.02,0.7,1.41,6.97,0.07,0.64,0.45,0,2.71,2.93,0.28
Chambers Reservoir,CBRR,2022-09-20,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,2.45,1.78,0.82,6.89,485.92,53.49,1.53,0.01,0.79,1.24,7.27,0.06,0.55,0.16,0,2.41,2.45,0.1
Chambers Outflow,CHD,2022-09-20,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,0.17,0.19,1.38,6.86,490.89,54.07,1.48,0.05,0.79,1.26,7.77,0.05,0.52,0.11,0,2.31,2.42,0.14
Peterson Outlet,PTRO,2022-09-20,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,10.35,9.95,5.54,6.96,441.88,52.02,2.44,0.03,1.3,0.99,6.77,0.03,0.94,0.08,0,2.16,4.15,0.18
Peterson Reservoir,PTRR,2022-09-20,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,14.29,12.92,4.3,6.85,421.85,49.58,2.27,0.01,1.36,0.94,6.27,0.03,0.99,0.09,0.13,2.16,3.76,0.13
Barnes Meadow Outflow,BMD,2022-09-27,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,8.38,10.91,5.34,6.8,620.23,82.34,2.54,0.36,1.37,1.64,11.2,0.05,1.66,0.2,0.12,5.41,5.94,0.44
Barnes Meadow Reservoir,BRNR,2022-09-27,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,0.66,0.19,3.33,6.9,644.33,84.13,2.47,0.05,1.31,1.6,11.31,0.05,1.63,0.08,0,6.72,5.69,0.3
Chambers Inlet,CBRI,2022-09-27,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,1.19,0.56,0.92,6.89,464.57,55.67,1.53,0.02,0.73,1.48,7.46,0.06,0.69,0.43,0,2.74,2.82,0.25
Chambers Reservoir,CBRR,2022-09-27,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,0.56,0.64,2.17,6.92,491.08,54.39,1.63,0.09,0.86,1.34,7.46,0.07,0.63,0.07,0,2.52,2.6,0.23
