Site,site_code,Date,Lat,Long,watershed,Watershed_Level,status,Turbidity,TSS,ChlA,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,DOC,DTN
Peterson Reservoir,PTRR,2021-06-16,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,3,0,4.11,6.68,164.27,41.22,1.44,0.09,1.28,0.81,5.01,0.03,0.8,0.01,0,6.89,8,0.55
Barnes Meadow Outflow,BMD,2021-06-23,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,5,4.14,NA,7.1,409.22,75.93,2.32,0.04,1.14,1.46,9.27,0.04,1.38,0.15,0,10.86,7.29,0.45
Barnes Meadow Reservoir,BRNR,2021-06-23,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,4.5,10.2,NA,7.32,430.99,85.43,2.39,0.04,1.2,1.49,9.25,0.04,1.38,0.01,0,11.15,7.52,0.7
Chambers Inlet,CBRI,2021-06-23,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,4.5,0.7,NA,7.21,349.32,45.05,1.52,0.02,0.67,1.03,5.51,0.07,0.56,0.1,0,2.96,3.05,0.43
Chambers Reservoir,CBRR,2021-06-23,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,3,4.7,NA,7.16,298.52,43.69,1.32,0.03,0.84,0.99,5.54,0.05,0.58,0.01,0,4,3.92,0.51
Chambers Outflow,CHD,2021-06-23,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,5,0.8,NA,7.14,344.81,48.59,1.52,0.03,0.83,1.06,6.21,0.05,0.58,0.09,0,3.99,3.42,0.42
Peterson Outlet,PTRO,2021-06-23,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,3,1.2,NA,7.07,186.6,42.83,1.42,0.19,1.21,0.76,5.04,0.02,0.73,0.01,0,6.48,7.62,0.52
Peterson Reservoir,PTRR,2021-06-23,40.55936515,-105.7940034,Peterson Reservoir,0.3055062638172439,Burned,NA,10.4,NA,7.1,176.92,41.72,1.42,0.1,1.18,0.75,4.83,0.01,0.75,0.02,0,6.51,7.58,0.52
Barnes Meadow Outflow,BMD,2021-06-30,40.60065,-105.836717,Barnes Meadow Reservoir,0.4490768485927012,Burned,7,4.1,0.81,7.11,377.93,74.78,2.31,0.08,1.17,1.51,10.26,0.03,1.37,0.07,0,10.16,7.01,0.7
Barnes Meadow Reservoir,BRNR,2021-06-30,40.599908,-105.830604,Barnes Meadow Reservoir,0.4490768485927012,Burned,16,1.6,1.1,7.1,405,67.26,2.38,0.06,1.21,1.51,10.27,0.03,1.37,0.01,0,10.54,7.19,0.7
Chambers Inlet,CBRI,2021-06-30,40.57795281,-105.8572773,Chambers Reservoir,0.11067457970644089,Burned,7,2.7,0.51,7.12,288.93,40.15,1.52,0.02,0.62,0.98,5.27,0.09,0.47,0.04,0,2.48,2.73,0.74
Chambers Reservoir,CBRR,2021-06-30,40.60438415,-105.8432698,Chambers Reservoir,0.19135067209931075,Burned,12,1.9,3.47,7.19,310.29,40.11,1.25,0.05,0.7,0.92,5.18,0.08,0.45,0.01,0,3.11,3.3,0.53
Chambers Outflow,CHD,2021-06-30,40.60233229,-105.8427286,Chambers Reservoir,0.19135067209931075,Burned,8,3.6,1.05,7.1,356.2,46.71,1.65,0.05,0.87,1.04,6.56,0.09,0.51,0.01,0,3.47,3.1,0.83
Peterson Outlet,PTRO,2021-06-30,40.56063874,-105.7929021,Peterson Reservoir,0.3055062638172439,Burned,13,0.7,2.34,6.92,210.85,39.86,1.51,0.09,1.25,0.73,5.16,0.06,0.71,0,0,6.28,7.54,0.98
