SurfTemp,sd_SurfTempSD,min_SurfTempMin,max_SurfTempMax,pCount_SurfTemp,system:index
289.01235326,1.260496820572621,286.6949357,290.17106204000004,5,1_1_1_LT05_033032_19860612_2897135
,,,,0,1_1_1_LT05_033032_19860612_2896951
,,,,0,1_1_1_LT05_033032_19860612_2897377
,,,,0,1_1_1_LT05_033032_19860612_2897339
,,,,0,1_1_1_LT05_033032_19860612_167246041
,,,,0,1_1_1_LT05_033032_19860612_2897311
,,,,0,1_1_1_LT05_033032_19860612_2897379
290.75554346,0.2477380896373713,290.75554346,291.27166448,25,1_1_1_LT05_033032_19860612_2897349
296.03296634000003,0.7025683636157397,295.51000927999996,298.10086844,24,1_1_1_LT05_033032_19860628_2897135
,,,,0,1_1_1_LT05_033032_19860628_2896951
,,,,0,1_1_1_LT05_033032_19860628_2897377
,,,,0,1_1_1_LT05_033032_19860628_2897339
,,,,0,1_1_1_LT05_033032_19860628_167246041
,,,,0,1_1_1_LT05_033032_19860628_2897311
,,,,0,1_1_1_LT05_033032_19860628_2897379
295.37670649999995,0.2544085715477541,294.85033142,295.90308158,25,1_1_1_LT05_033032_19860628_2897349
,,,,0,1_1_1_LT05_033032_19860714_2897135
,,,,0,1_1_1_LT05_033032_19860714_2896951
,,,,0,1_1_1_LT05_033032_19860714_2897377
,,,,0,1_1_1_LT05_033032_19860714_2897339
,,,,0,1_1_1_LT05_033032_19860714_167246041
,,,,0,1_1_1_LT05_033032_19860714_2897311
,,,,0,1_1_1_LT05_033032_19860714_2897379
,,,,0,1_1_1_LT05_033032_19860714_2897349
295.35619838,0.5071748527063227,294.8469134,296.87721727999997,24,1_1_1_LT05_033032_19860730_2897135
,,,,0,1_1_1_LT05_033032_19860730_2896951
,,,,0,1_1_1_LT05_033032_19860730_2897377
,,,,0,1_1_1_LT05_033032_19860730_2897339
,,,,0,1_1_1_LT05_033032_19860730_167246041
,,,,0,1_1_1_LT05_033032_19860730_2897311
,,,,0,1_1_1_LT05_033032_19860730_2897379
293.71554878,4.315837287515549E-6,293.71554878,293.71554878,25,1_1_1_LT05_033032_19860730_2897349
295.91333564,0.7971156076165068,295.42455878,298.32645776,24,1_1_1_LT05_033032_19860815_2897135
,,,,0,1_1_1_LT05_033032_19860815_2896951
,,,,0,1_1_1_LT05_033032_19860815_2897377
,,,,0,1_1_1_LT05_033032_19860815_2897339
,,,,0,1_1_1_LT05_033032_19860815_167246041
,,,,0,1_1_1_LT05_033032_19860815_2897311
,,,,0,1_1_1_LT05_033032_19860815_2897379
294.26585,0.23625354263857445,294.26585,294.75804488,25,1_1_1_LT05_033032_19860815_2897349
295.48266512,0.630568321890095,294.91869182,297.1540769,24,1_1_1_LT05_033032_19860831_2897135
,,,,0,1_1_1_LT05_033032_19860831_2896951
,,,,0,1_1_1_LT05_033032_19860831_2897377
,,,,0,1_1_1_LT05_033032_19860831_2897339
,,,,0,1_1_1_LT05_033032_19860831_167246041
,,,,0,1_1_1_LT05_033032_19860831_2897311
,,,,0,1_1_1_LT05_033032_19860831_2897379
294.31370228000003,0.2851762547726472,293.74289294,294.31370228000003,25,1_1_1_LT05_033032_19860831_2897349
211.84371572,0.7992799871280066,211.80269948,213.54588968000002,24,1_1_1_LT05_033032_19860916_2897135
,,,,0,1_1_1_LT05_033032_19860916_2896951
,,,,0,1_1_1_LT05_033032_19860916_2897377
,,,,0,1_1_1_LT05_033032_19860916_2897339
,,,,0,1_1_1_LT05_033032_19860916_167246041
,,,,0,1_1_1_LT05_033032_19860916_2897311
,,,,0,1_1_1_LT05_033032_19860916_2897379
205.48619852000002,0.7889166192309023,205.47936248,207.17811842,25,1_1_1_LT05_033032_19860916_2897349
275.32318316,0.26892329326955805,275.2274786,276.02729528,17,1_1_1_LT05_033032_19861002_2897135
,,,,0,1_1_1_LT05_033032_19861002_2896951
,,,,0,1_1_1_LT05_033032_19861002_2897377
,,,,0,1_1_1_LT05_033032_19861002_2897339
,,,,0,1_1_1_LT05_033032_19861002_167246041
,,,,0,1_1_1_LT05_033032_19861002_2897311
,,,,0,1_1_1_LT05_033032_19861002_2897379
276.3896054,0.36923668018130235,275.77094378,277.00484900000004,22,1_1_1_LT05_033032_19861002_2897349
284.14509278,1.5058215145497964,283.0547444,289.15932812,23,1_1_1_LT05_033032_19861018_2897135
,,,,0,1_1_1_LT05_033032_19861018_2896951
,,,,0,1_1_1_LT05_033032_19861018_2897377
,,,,0,1_1_1_LT05_033032_19861018_2897339
,,,,0,1_1_1_LT05_033032_19861018_167246041
,,,,0,1_1_1_LT05_033032_19861018_2897311
,,,,0,1_1_1_LT05_033032_19861018_2897379
286.15830656,6.3633549211753775E-6,286.15830656,286.15830656,23,1_1_1_LT05_033032_19861018_2897349
262.47826399999997,0.19669331399830803,262.38597746,263.22339236,24,1_1_1_LT05_033032_19861103_2897135
,,,,0,1_1_1_LT05_033032_19861103_2896951
,,,,0,1_1_1_LT05_033032_19861103_2897377
,,,,0,1_1_1_LT05_033032_19861103_2897339
,,,,0,1_1_1_LT05_033032_19861103_167246041
,,,,0,1_1_1_LT05_033032_19861103_2897311
,,,,0,1_1_1_LT05_033032_19861103_2897379
262.51586222000003,0.24560109877822436,261.84593029999996,262.51586222000003,25,1_1_1_LT05_033032_19861103_2897349
