IDNo,Site,SiteLabel,Date,SampleType,Turbidity,TSS,ChlA,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4
FCW 989,Joe Wright Inlet,JOEI,1-Sep-21,NORM,4,,0.21,7.35,470.45,65.03,1.78,0.03,0.48,1.54,8.4,0.14,0.29,0.58,0,7.8
FCW 1002,Joe Wright Inlet,JOEI,8-Sep-21,NORM,3,,0.14,7.09,647.17,68.14,2.67,0.01,0.62,1.23,7.38,0.12,1.39,0.22,0,4.11
FCW 1049,Joe Wright Inlet,JOEI,15-Sep-21,NORM,2.5,0.6,0.16,7.63,644.45,71.18,3.24,0.01,0.75,1.69,7.01,0.1,1.98,0.16,0,3.36
FCW 1090,Joe Wright Inlet,JOEI,22-Sep-21,NORM,2.3,,0.1,7.33,691.02,71.48,3.34,0.02,0.66,1.65,6.98,0.09,2.12,0.2,0,3.22
FCW 1101,Joe Wright Inlet,JOEI,28-Sep-21,NORM,2,,0.5,7.49,713.06,68.41,3.64,0.03,0.62,1.49,6.14,0.1,1.97,0.1,0,2.76
FCW 1168,Joe Wright Inlet,JOEI,13-Oct-21,NORM,1.3,5.58,0.29,7.27,549.03,67.64,2.41,0.01,0.65,1.32,6.56,0.12,1.37,0.56,0,7.54
FCW 1207,Joe Wright Inlet,JOEI,26-Oct-21,NORM,1.5,3.44,0.28,7.12,582.73,64.39,2.24,0.01,0.65,1.07,4.95,0.18,0.92,0.68,0,9.47
FCW 1208,Joe Wright Inlet,JOEI,26-Oct-21,DUPLICATE,1.5,0.18,0.26,7.12,593.54,65.59,2.26,0,0.65,1.09,4.93,0.17,0.92,0.67,0,9.44
FCW 1442,Joe Wright Inlet,JOEI,1-Jun-22,NORM,,0.1,0.11,7.25,409.22,49.65,1.53,0.01,0.6,1,6.38,0.03,0.83,0.33,0,3.91
FCW 1463,Joe Wright Inlet,JOEI,7-Jun-22,NORM,,9.4,0.33,7.16,371.09,48.5,1.66,0.01,0.62,1.04,6.23,0.06,0.86,0.28,0,3.89
FCW 1482,Joe Wright Inlet,JOEI,14-Jun-22,NORM,7.89,9.59,0.02,7.12,255.33,39.21,1.63,0.01,1.01,1.09,4.83,0.05,0.73,0.73,0.24,2.9
FCW 1511,Joe Wright Inlet,JOEI,22-Jun-22,NORM,2.39,3,0.25,7.22,299.51,44.31,1.15,0.04,0.5,1.36,6.61,0.12,0.84,0.47,0,3.47
FCW 1530,Joe Wright Inlet,JOEI,23-Jun-22,NORM,6.47,2.45,0.3,7.39,324.8,46.62,1.17,0.03,0.5,1.41,6.82,0.14,0.27,0.48,0,3.94
FCW 1539,Joe Wright Inlet,JOEI,28-Jun-22,NORM,6.43,18.79,0.53,7.33,303.14,42.22,1.19,0.02,0.64,1.45,6.59,0.14,0.36,0.66,0,2.39
FCW 1571,Joe Wright Inlet,JOEI,5-Jul-22,NORM,1.85,1,0.44,7.35,372.28,55,1.21,0.02,0.42,1.48,7.43,0.12,0.27,0.5,0,4.61
FCW 1601,Joe Wright Inlet,JOEI,12-Jul-22,NORM,0.43,0.1,0.27,7.44,398.33,53.41,1.47,0.02,0.45,1.49,7.56,0.09,0.39,0.44,0,4.56
FCW 1643,Joe Wright Inlet,JOEI,19-Jul-22,NORM,1.53,0.56,0.4,7.3,420.12,56.71,1.3,0.03,0.41,1.48,8.14,0.05,0.33,0.47,0,5.34
FCW 1644,Joe Wright Inlet,JOEI,19-Jul-22,DUPLICATE,1.56,0.54,,7.2,434.89,58.67,1.28,0.07,0.38,1.5,8.22,0.04,0.33,0.48,0,5.34
FCW 1664,Joe Wright Inlet,JOEI,26-Jul-22,NORM,5.1,4.29,0.39,7.29,449.12,56.06,1.28,0.03,0.35,1.45,8.01,0.03,0.27,0.44,0,5.44
FCW 1683,Joe Wright Inlet,JOEI,2-Aug-22,NORM,4.37,3.21,0.26,7.22,544.87,62.16,1.33,0.03,0.34,1.44,8,0.06,0.33,0.47,0,5.67
FCW 1710,Joe Wright Inlet,JOEI,9-Aug-22,NORM,5.4,4.2,0.2,7.19,483.31,61.51,1.45,0.06,0.49,1.44,7.98,0.05,0.4,0.47,0,6.01
FCW 1722,Joe Wright Inlet,JOEI,16-Aug-22,NORM,0.06,1.09,0.24,7.2,480.82,66.45,1.62,0.12,0.53,1.65,9.02,0.04,0.39,0.44,0,6.6
FCW 1743,Joe Wright Inlet,JOEI,23-Aug-22,NORM,0.89,1.1,0.2,6.92,522.94,61.38,1.4,0.02,0.44,1.28,8.07,0.06,0.37,0.66,0,6.57
FCW 1744,Joe Wright Inlet,JOEI,23-Aug-22,DUPLICATE,1.03,1,,6.92,549.17,62.94,1.4,0.05,0.43,1.32,8.33,0.06,0.37,0.65,0,6.66
FCW 1751,Joe Wright Inlet,JOEI,25-Aug-22,NORM,0.44,0.4,0.18,6.92,506.34,61.85,1.27,0.04,0.37,1.18,7.78,0.06,0.37,0.72,0,6.4
FCW 1752,Joe Wright Inlet,JOEI,25-Aug-22,DUPLICATE,0.6,0.34,,6.93,524.14,61.98,1.25,0.03,0.37,1.19,7.77,0.06,0.34,0.68,0,6.42
FCW 1783,Joe Wright Inlet,JOEI,30-Aug-22,NORM,1.59,0.58,0.2,6.94,520.77,59.55,1.18,0.03,0.35,1.08,7.34,0.05,0.33,0.62,0,6.33
FCW 1805,Joe Wright Inlet,JOEI,6-Sep-22,NORM,0.25,1,0.58,7.07,557.8,68.58,1.5,0.06,0.54,1.67,8.77,0.03,0.33,0.71,0,6.47
FCW 1836,Joe Wright Inlet,JOEI,13-Sep-22,NORM,0.15,1.2,0.19,7.06,589.44,80.66,1.82,0.01,0.56,1.99,12.54,0.03,0.48,0.79,0,8.07
FCW 1868,Joe Wright Inlet,JOEI,19-Sep-22,NORM,0.95,1.08,0.23,6.97,593.71,84.17,1.88,0.03,0.68,2.19,11.11,0.02,0.57,0.82,0,8.31
FCW 1894,Joe Wright Inlet,JOEI,20-Sep-22,NORM,0.58,0.2,0.24,6.96,646.28,81.86,1.75,0.07,0.58,2.05,10.84,0.11,0.51,0.71,0,7.94
FCW 1924,Joe Wright Inlet,JOEI,27-Sep-22,NORM,0.24,0.93,0.26,6.92,561.4,79.76,1.95,0.03,0.63,2.08,10.63,0.12,0.62,0.71,0.12,8.75
FCW 1946,Joe Wright Inlet,JOEI,4-Oct-22,NORM,0.84,1.21,0.25,6.99,545.79,82.37,2.61,0.01,0.43,2.12,10.81,0.12,1.02,0.61,0.08,8.98
FCW 1974,Joe Wright Inlet,JOEI,11-Oct-22,NORM,0.63,1.2,0.21,7.04,572.22,78.85,2.58,0.01,0.41,2.02,10.34,0.07,0.97,0.58,0.04,9.02
FCW 1985,Joe Wright Inlet,JOEI,18-Oct-22,NORM,0.84,1.6,0.58,6.85,554.92,78.89,2.49,0.03,0.38,1.97,10.22,0.06,0.94,0.58,0,9.13
FCW 2017,Joe Wright Inlet,JOEI,25-Oct-22,NORM,0.2,0.51,0.19,6.9,558.34,80.22,2.43,0.01,0.4,2.01,10.13,0.04,0.92,0.61,0,9.22
FCW 2030,Joe Wright Inlet,JOEI,1-Nov-22,NORM,0.28,0.8,0.19,6.98,650.09,86.98,2.77,0.02,0.58,2.73,11.54,0.03,0.9,0.59,0,8.99
FCW 446,Joe Wright Reservoir,JOER,2-Jun-21,NORM, ,0,0.37,7.01,379.11,43.77,1.41,0.05,0.63,1.27,5.85,0.06,0.72,0.1,0,3.6
FCW 486,Joe Wright Reservoir,JOER,9-Jun-21,NORM,3,1,0.47,6.97,371.16,45.22,1.41,0,0.59,1.26,5.83,0.03,0.53,0.04,0,3.22
FCW 515,Joe Wright Reservoir,JOER,16-Jun-21,NORM,2.5,1.01,0.63,6.74,339.54,43.21,1.33,0.03,0.61,1.21,5.49,0.07,0.58,0.05,0,3.23
FCW 551,Joe Wright Reservoir,JOER,23-Jun-21,NORM,1.5,1.5,,7.13,335.87,41.91,1.21,0.02,0.55,1.07,5.27,0.05,0.49,0.01,0,2.98
FCW 612,Joe Wright Reservoir,JOER,30-Jun-21,NORM,11.5,2.2,0.89,7.08,394.74,46.72,1.35,0.01,0.6,1.17,5.64,0.11,0.52,0.01,0,3.06
FCW 624,Joe Wright Reservoir,JOER,7-Jul-21,NORM,11,0.6,0.69,6.99,321.8,43.86,1.43,0.03,0.57,1.18,5.5,0.09,0.47,0.01,0,3.24
FCW 625,Joe Wright Reservoir,JOER,7-Jul-21,DUPLICATE,11,1.7,0.88,7,319.44,44.33,1.43,0.03,0.58,1.19,5.62,0.09,0.48,0.01,0,3.25
FCW 661,Joe Wright Reservoir,JOER,14-Jul-21,NORM,1.5, ,1.43,7.11,316.98,45.57,1.57,0.03,0.57,1.29,6.03,0.05,0.55,0.01,0,3.39
FCW 739,Joe Wright Reservoir,JOER,28-Jul-21,NORM,2.75,0,0.51,7.08,320.99,42.81,1.48,0.03,0.55,1.11,5.88,0.04,0.51,0.01,0,3.12
FCW 818,Joe Wright Reservoir,JOER,4-Aug-21,NORM,2.5,,0.83,7.04,324.09,40.82,1.39,0.01,0.62,0.9,5.25,0.09,0.47,0.02,0,3.83
FCW 875,Joe Wright Reservoir,JOER,11-Aug-21,NORM,3,,0.83,7.16,376.78,45.27,1.46,0.02,0.65,1.27,6.38,0.1,0.45,0.01,0,3.87
FCW 893,Joe Wright Reservoir,JOER,18-Aug-21,NORM,4.35,1,1.19,6.98,394.72,49.08,1.49,0.04,0.67,1.31,6.55,0.12,0.45,0.02,0,4.02
FCW 965,Joe Wright Reservoir,JOER,25-Aug-21,NORM,2.5,1.65,1.51,7.16,381.23,48.45,1.44,0.03,0.6,1.21,6.3,0.09,0.47,0.03,0,3.99
FCW 990,Joe Wright Reservoir,JOER,1-Sep-21,NORM,2.5,2.2,1.51,7.21,387.54,47.32,1.48,0.02,0.6,1.12,6.31,0.08,0.48,0.04,0,3.71
FCW 1003,Joe Wright Reservoir,JOER,8-Sep-21,NORM,3.5,1.2,1.21,6.97,373.4,50.97,1.49,0,0.64,1.36,7.02,0.11,0.48,0.03,0,3.91
FCW 1050,Joe Wright Reservoir,JOER,15-Sep-21,NORM,4.1,0.2,1.75,7.16,370.39,52.16,1.57,0.05,0.74,1.53,7,0.1,0.52,0.04,0,3.98
FCW 1091,Joe Wright Reservoir,JOER,22-Sep-21,NORM,2.8,,1.77,7.05,355.97,49.47,1.55,0.01,0.67,1.45,7.06,0.1,0.51,0.06,0,3.99
FCW 1102,Joe Wright Reservoir,JOER,28-Sep-21,DUPLICATE,2.2,,1.42,7,363.18,51.42,1.4,0.02,0.64,1.43,6.99,0.1,0.47,0.01,0,3.84
FCW 1103,Joe Wright Reservoir,JOER,28-Sep-21,NORM,2.5,,1.45,6.98,361.96,50.49,1.43,0.02,0.64,1.41,6.93,0.1,0.51,0.01,0,3.85
FCW 1169,Joe Wright Reservoir,JOER,13-Oct-21,NORM,4.5,12.68,2.78,7.18,394.35,51.46,1.5,0.01,0.63,1.44,6.59,0.09,0.57,0.01,0,3.87
FCW 1209,Joe Wright Reservoir,JOER,26-Oct-21,NORM,4,109.63,2.24,6.99,423.31,50.32,1.52,0.01,0.69,1.42,6.27,0.15,0.56,0.05,0,3.93
FCW 1443,Joe Wright Reservoir,JOER,1-Jun-22,NORM,,0.99,,7.15,339.03,46.24,1.64,0.02,0.69,1.31,5.77,0.02,1.25,0.67,0,2.91
FCW 1464,Joe Wright Reservoir,JOER,7-Jun-22,NORM,,0.85,8.71,7.05,375.68,49.65,1.6,0.02,0.72,1.34,5.98,0.03,1.12,0.63,0,2.9
FCW 1483,Joe Wright Reservoir,JOER,14-Jun-22,NORM,4.51,5.1,2.53,7.14,387.05,54.41,2.15,0.07,1.26,1.22,7.73,0.03,0.9,0.81,0,2.67
FCW 1514,Joe Wright Reservoir,JOER,22-Jun-22,NORM,6.09,0.6,2.34,7.44,412.23,51.26,1.94,0.05,0.97,1.44,6.62,0.12,0.71,0.38,0,2.63
FCW 1531,Joe Wright Reservoir,JOER,23-Jun-22,NORM,3.53,2,0.92,7.6,413.61,51.75,1.94,0.03,0.97,1.44,6.49,0.11,0.7,0.38,0,2.69
FCW 1540,Joe Wright Reservoir,JOER,28-Jun-22,NORM,2.89,1.4,1.1,7.35,425.2,58,2.76,0.02,1.13,1.69,7.41,0.1,0.84,0.24,0.13,3.06
FCW 1572,Joe Wright Reservoir,JOER,5-Jul-22,NORM,2.05,1.6,1.73,7.37,385.44,46.75,1.34,0.01,0.65,1.21,5.72,0.11,0.64,0.19,0.2,2.38
FCW 1602,Joe Wright Reservoir,JOER,12-Jul-22,NORM,0.33,1,1.2,7.22,344.81,40.33,1.17,0.02,0.59,1.13,5.01,0.1,0.53,0.07,0,2.03
FCW 1645,Joe Wright Reservoir,JOER,19-Jul-22,NORM,6.22,4.2,2.09,7.19,421,50.77,1.43,0.03,0.62,1.34,6.91,0.09,0.56,0.09,0,2.67
FCW 1665,Joe Wright Reservoir,JOER,26-Jul-22,NORM,6.95,4.2,2.85,7.25,399.37,51.51,1.49,0.03,0.65,1.43,6.99,0.09,0.59,0.07,0,2.7
FCW 1684,Joe Wright Reservoir,JOER,2-Aug-22,NORM,4.69,2.8,2.52,7.24,434.34,51.53,1.45,0.02,0.64,1.39,6.81,0.1,0.48,0.07,0,3.11
FCW 1711,Joe Wright Reservoir,JOER,9-Aug-22,NORM,4.38,3.96,0.97,7.11,458.23,51.62,1.44,0.02,0.64,1.31,6.7,0.11,0.49,0.03,0,3.24
FCW 1723,Joe Wright Reservoir,JOER,16-Aug-22,NORM,0.66,0.93,3.06,7.15,452.79,52.16,1.39,0.02,0.64,1.29,6.72,0.11,0.46,0.03,0,3.25
FCW 1745,Joe Wright Reservoir,JOER,23-Aug-22,NORM,2.45,2.7,2.22,6.92,420.18,47.43,1.21,0.04,0.53,1.01,5.95,0.06,0.47,0.02,0,3.07
FCW 1753,Joe Wright Reservoir,JOER,25-Aug-22,NORM,3.65,3.74,3.23,6.95,381.13,44.19,1.16,0.03,0.49,0.97,5.62,0.06,0.49,0.03,0,3.13
FCW 1784,Joe Wright Reservoir,JOER,30-Aug-22,NORM,3.33,4.04,2.56,6.94,381.82,43.64,1.08,0.02,0.47,0.92,5.55,0.05,0.44,0.03,0,3.02
FCW 1806,Joe Wright Reservoir,JOER,6-Sep-22,NORM,0.87,0.82,2.23,7.07,389.27,46.55,1.42,0.02,0.67,1.08,6.17,0.09,0.38,0.02,0,2.85
FCW 1837,Joe Wright Reservoir,JOER,13-Sep-22,NORM,0.62,1.04,2.59,6.97,487,58.17,1.45,0.03,0.65,1.45,7.88,0.1,0.5,0.08,0,3.55
FCW 1869,Joe Wright Reservoir,JOER,19-Sep-22,NORM,4.36,3,2.35,6.96,514.86,59.41,1.55,0.02,0.7,1.53,8.03,0.09,0.52,0.08,0,3.62
FCW 1895,Joe Wright Reservoir,JOER,20-Sep-22,NORM,1.82,1.81,2.68,6.96,525.81,57.46,1.55,0.03,0.62,1.43,7.34,0.08,0.49,0.08,0,3.29
FCW 1925,Joe Wright Reservoir,JOER,27-Sep-22,NORM,0.34,0.32,1.25,6.96,494.98,57.78,1.49,0.03,0.63,1.5,7.52,0.08,0.54,0.1,0,3.45
FCW 1947,Joe Wright Reservoir,JOER,4-Oct-22,NORM,13.08,17.5,1.92,6.9,479.46,57.05,1.71,0.01,0.45,1.66,7.81,0.08,0.56,0.1,0,3.65
FCW 1975,Joe Wright Reservoir,JOER,11-Oct-22,NORM,0.67,0.75,2.36,6.97,508.08,59.63,1.72,0.01,0.48,1.68,7.83,0.08,0.59,0.08,0,3.72
FCW 1986,Joe Wright Reservoir,JOER,18-Oct-22,NORM,0.84,1.2,1.54,6.86,500.35,59.36,1.74,0.02,0.41,1.72,7.8,0.08,0.6,0.07,0,3.7
FCW 1987,Joe Wright Reservoir,JOER,18-Oct-22,DUPLICATE,0.82,1.56,1.36,6.76,489.56,60.58,1.76,0.03,0.38,1.77,7.85,0.09,0.58,0.07,0,3.67
FCW 1988,Joe Wright Reservoir,JOER,18-Oct-22,BLANK,0.03,0.04,0.01,5.51,4.33,1.9,0.03,0.01,0.01,0.01,0.08,0.01,0.05,0,0,0.01
FCW 2018,Joe Wright Reservoir,JOER,25-Oct-22,NORM,0.55,0.7,2.15,6.88,520.11,61.23,1.78,0.02,0.4,1.8,7.88,0.08,0.61,0.07,0,3.69
FCW 2031,Joe Wright Reservoir,JOER,1-Nov-22,NORM,0.77,1.6,2.71,6.96,473.15,57.75,1.65,0.02,0.6,1.64,7.88,0.07,0.62,0.08,0,3.72
FCW 160,JWC-Joe Wright @ Aspen Glen Campground,JWC,20-Oct-20,NORM, , ,,6.94,636.98,74.84,1.29,0.01,0.65,2.77,8.72,0.08,0.44,0.07,0,2.5
FCW 215,JWC-Joe Wright @ Aspen Glen Campground,JWC,16-Nov-20,NORM, , ,,7.32,386.51,46.27,1.63,0.01,0.92,1.07,5.54,0.04,0.53,0.1,0,2.75
FCW 237,JWC-Joe Wright @ Aspen Glen Campground,JWC,7-Apr-21,NORM,1.25, ,,7.39,482.68,52,2.15,0.01,0.8,1.08,5.55,0.04,0.55,0.1,0,2.5
FCW 242,JWC-Joe Wright @ Aspen Glen Campground,JWC,12-Apr-21,NORM,1.5,2.97,,7.26,503.64,49.26,1.82,0.02,0.72,1.11,5.09,0.05,0.8,0.11,0,2.52
FCW 264,JWC-Joe Wright @ Aspen Glen Campground,JWC,19-Apr-21,NORM,2.1,0.98,,7.37,499.82,52.97,1.72,0.01,0.78,1.21,5.55,0.05,0.59,0.05,0,2.5
FCW 284,JWC-Joe Wright @ Aspen Glen Campground,JWC,26-Apr-21,NORM,2.5,0,,7.2,537.61,54.07,1.75,0.02,0.81,1.34,5.79,0.05,0.92,0.06,0,2.5
FCW 324,JWC-Joe Wright @ Aspen Glen Campground,JWC,3-May-21,NORM,3.5,0.1,,7.28,501.23,80.42,1.49,0.02,0.94,1.42,7.23,0.07,4.73,0.16,0,14.47
FCW 348,JWC-Joe Wright @ Aspen Glen Campground,JWC,10-May-21,NORM,2.5,1,,7.59,520.87,90.36,1.33,0.02,1.09,1.56,9.9,0.06,4.68,0.07,0.04,13.79
FCW 384,JWC-Joe Wright @ Aspen Glen Campground,JWC,17-May-21,NORM,2.3,12.12,,7.46,462.82,88.69,2.37,0.01,1.02,1.64,7.61,0.05,4.42,0.04,0.03,19.48
FCW 397,JWC-Joe Wright @ Aspen Glen Campground,JWC,24-May-21,NORM,1.5,3.08,,,,,,,,,,,,,,
FCW 428,JWC-Joe Wright @ Aspen Glen Campground,JWC,1-Jun-21,NORM,3.5,1,,7.29,474.41,62.97,1.85,0.04,1.03,1.44,7.12,0.04,1.07,0.21,0,7.23
FCW 456,JWC-Joe Wright @ Aspen Glen Campground,JWC,7-Jun-21,NORM,5, ,,6.93,374.62,54.05,1.61,0.05,0.92,1.26,6.3,0.04,0.9,0.26,0,6.03
FCW 521,JWC-Joe Wright @ Aspen Glen Campground,JWC,21-Jun-21,NORM,3,1.2,,6.86,318.68,45.13,1.41,0.04,0.84,1.12,5.9,0.05,0.73,0.14,0,4.57
FCW 680,JWC-Joe Wright @ Aspen Glen Campground,JWC,26-Jul-21,NORM, ,2.2,,7.07,356.61,43.72,1.49,0.06,0.63,1.06,5.1,0.04,0.53,0.12,0,3.44
FCW 807,JWC-Joe Wright @ Aspen Glen Campground,JWC,4-Aug-21,NORM,5.75,,,7.03,343.61,46.63,1.62,0.07,0.74,1.11,5.56,0.05,0.66,0.56,0,3.54
FCW 933,JWC-Joe Wright @ Aspen Glen Campground,JWC,23-Aug-21,NORM,5.5,2.37,,7,371.61,45.08,1.81,0.07,0.73,1.05,5.53,0.04,0.65,0.36,0,2.18
FCW 1192,JWC-Joe Wright @ Aspen Glen Campground,JWC,8-Oct-21,NORM,3,,,7.28,458.66,47.75,1.85,0.06,0.75,1.03,5.44,0.04,0.64,0.27,0,2
FCW 1241,JWC-Joe Wright @ Aspen Glen Campground,JWC,5-Nov-21,NORM,,1.17,,7.25,467.04,47.29,1.94,0.05,0.9,0.74,3.69,0.07,1.04,0.15,0,4.25
FCW 1263,JWC-Joe Wright @ Aspen Glen Campground,JWC,29-Nov-21,NORM,,,,6.99,439.46,51.8,2.18,0.03,0.98,0.85,4.34,0.06,1.13,0.03,0,4.4
FCW 1281,JWC-Joe Wright @ Aspen Glen Campground,JWC,14-Dec-21,NORM,,1.39,,7.52,482.43,56.7,2.09,0.01,0.91,0.84,4.12,0.06,1.13,0.05,0,4.57
FCW 1306,JWC-Joe Wright @ Aspen Glen Campground,JWC,3-Feb-22,NORM,,0.4,,7.11,513.6,81.14,2.44,0.06,1.08,4.16,9.86,0.06,1.31,0.29,0,5.81
FCW 1318,JWC-Joe Wright @ Aspen Glen Campground,JWC,1-Mar-22,NORM,,0.6,,7.52,553.39,68.45,2.43,0.04,1.14,1.81,7.1,0.04,1.33,0.23,0,6.19
FCW 1329,JWC-Joe Wright @ Aspen Glen Campground,JWC,28-Mar-22,NORM,,2.37,,7.46,542.11,75,2.96,0.04,1.21,1.26,9.24,0.03,2.19,0.28,0,7.78
FCW 1361,JWC-Joe Wright @ Aspen Glen Campground,JWC,27-Apr-22,NORM,,0.54,,7.73,578.79,77.35,1.59,0.02,1.33,1.99,10.01,0.04,2,1.55,0,6.37
FCW 1394,JWC-Joe Wright @ Aspen Glen Campground,JWC,16-May-22,NORM,,3.73,3.51,7.3,531.56,70.14,1.75,0.02,1.44,1.89,8.71,0.05,1.85,0.28,0,6.11
FCW 1422,JWC-Joe Wright @ Aspen Glen Campground,JWC,31-May-22,NORM,,5.4,4.38,7.29,482.58,59.06,1.91,0.05,1.04,1.78,6.6,0.02,1.33,0.27,0,4
FCW 1523,JWC-Joe Wright @ Aspen Glen Campground,JWC,22-Jun-22,NORM,2.25,4.2,3.67,7.3,300.6,42.95,1.42,0.06,0.79,1.22,6.15,0.02,0.66,0.28,0,2.33
FCW 1524,JWC-Joe Wright @ Aspen Glen Campground,JWC,22-Jun-22,DUPLICATE,2.21,4.1,0.01,7.33,291.85,42.83,1.37,0.04,0.8,1.27,6.52,0.01,0.62,0.28,0,2.32
FCW 1600,JWC-Joe Wright @ Aspen Glen Campground,JWC,11-Jul-22,NORM,1.63,0.8,1.75,7.37,347.99,40.99,1.22,0.04,0.74,1.08,5.57,0.02,0.51,0.26,0,1.79
FCW 1651,JWC-Joe Wright @ Aspen Glen Campground,JWC,25-Jul-22,NORM,0.56,0.57,2.2,7.28,396.32,47.07,1.41,0.07,0.75,1.13,6.66,0.02,0.58,0.27,0,2.27
FCW 1652,JWC-Joe Wright @ Aspen Glen Campground,JWC,25-Jul-22,BLANK,0.03,0.08,,5.7,3.86,1.09,0.03,0.01,0,0.02,0.05,0,0.04,0.02,0,0.02
FCW 1695,JWC-Joe Wright @ Aspen Glen Campground,JWC,8-Aug-22,NORM,4.88,3,2.64,7.44,379.73,43.38,1.25,0.03,0.62,1,6,0.02,0.53,0.18,0,2.19
FCW 1759,JWC-Joe Wright @ Aspen Glen Campground,JWC,25-Aug-22,NORM,1.31,2,1.11,7.31,375.4,41.69,1.19,0.06,0.58,0.8,5.29,0.06,0.55,0.14,0,2.04
FCW 1769,JWC-Joe Wright @ Aspen Glen Campground,JWC,26-Aug-22,NORM,6.25,7.8,0.76,7.18,461,44.39,1.12,0.04,0.54,0.84,5.22,0.02,0.52,0.18,0,1.94
FCW 1770,JWC-Joe Wright @ Aspen Glen Campground,JWC,26-Aug-22,BLANK,0.06,0.05,0,5.85,7.19,1.01,0.02,0,0,0.01,0.05,0,0,0.01,0,0.01
FCW 1822,JWC-Joe Wright @ Aspen Glen Campground,JWC,9-Sep-22,NORM,2.95,0.97,1.45,6.84,456.23,49.75,1.53,0.03,0.78,1.23,6.4,0.05,0.55,0.13,0,2.45
FCW 1875,JWC-Joe Wright @ Aspen Glen Campground,JWC,19-Sep-22,NORM,0.46,3,1.62,6.97,499.88,56.73,1.66,0.03,0.89,1.32,7.67,0.05,0.62,0.14,0,2.85
FCW 1910,JWC-Joe Wright @ Aspen Glen Campground,JWC,23-Sep-22,NORM,1.71,1.8,2.91,7,510.46,54.53,1.66,0.04,0.79,1.29,6.98,0.06,0.62,0.08,0,2.34
FCW 1962,JWC-Joe Wright @ Aspen Glen Campground,JWC,7-Oct-22,NORM,4.43,3.24,1.16,7.03,537.82,65.78,2.54,0,0.73,1.59,8.56,0.06,1.04,0.16,0,3.23
FCW 2004,JWC-Joe Wright @ Aspen Glen Campground,JWC,21-Oct-22,NORM,4.23,3,4.19,7.1,501.32,67.99,2.68,0.04,0.7,1.4,8.95,0.05,1.24,0.26,0,4.65
FCW 2045,JWC-Joe Wright @ Aspen Glen Campground,JWC,8-Nov-22,NORM,1.68,2.12,2.96,7.06,545.45,65.68,1.99,0.03,0.83,1.59,8.24,0.03,1.22,0.2,0,4.45
FCW 2046,JWC-Joe Wright @ Aspen Glen Campground,JWC,8-Nov-22,DUPLICATE,1.66,2.1,,7.05,517.28,65.03,1.97,0.03,0.79,1.52,8.9,0.04,1.23,0.19,0,4.49
FCW 1513,Poudre at Legacy Bridge,LEGC,22-Jun-22,NORM,9.46,12.8,0.86,7.02,421,56.93,1.79,0.02,0.75,1.46,6.89,0.12,0.87,0.65,0,3.83
FCW 1764,Poudre at Legacy Bridge,LEGC,25-Aug-22,NORM,31.07,28.73,4.2,7.07,773.59,104.34,4.68,0.04,1.93,2.26,12.28,0.39,2.08,1.24,0,7.66
FCW 1880,Poudre at Legacy Bridge,LEGC,19-Sep-22,NORM,2.89,1.9,1.73,7.39,1435.35,189.85,5.88,0.33,0.94,5.3,30.15,0.08,2.37,0.92,0,8.63
FCW 808,Long Draw Inlet,LNGI,4-Aug-21,NORM,75,,,6.77,104.13,36.51,1.36,0.04,1.09,0.73,3.53,0.05,1.95,1.28,0,6.71
FCW 443,Long Draw Outlet,LNGO,2-Jun-21,NORM, ,0,0.04,6.59,88.64,19.78,0.9,0.03,0.44,0.51,2.16,0.02,0.52,0.52,0,1.53
FCW 482,Long Draw Outlet,LNGO,9-Jun-21,NORM,3,0,0.64,6.82,218.84,33.55,0.81,0,0.48,0.76,4.79,0.09,0.34,0.52,0,3.5
FCW 510,Long Draw Outlet,LNGO,16-Jun-21,NORM,3.3,2,0.72,6.6,194,31.76,0.75,0.03,0.46,0.71,4.41,0.17,0.19,0.56,0,3.69
FCW 546,Long Draw Outlet,LNGO,23-Jun-21,NORM,2.9,0.2,,6.99,225.38,36.74,0.79,0.04,0.46,0.81,4.95,0.11,0.18,0.58,0,4.59
FCW 608,Long Draw Outlet,LNGO,30-Jun-21,NORM,7,0.5,0.43,6.94,257.88,41.36,0.87,0.02,0.49,1.03,5.9,0.24,0.18,0.61,0,5.2
FCW 620,Long Draw Outlet,LNGO,7-Jul-21,NORM,7,1.7,0.38,6.81,238.69,42.45,0.92,0.03,0.45,0.93,5.75,0.2,0.14,0.69,0,5.75
FCW 656,Long Draw Outlet,LNGO,14-Jul-21,NORM, ,0,1.17,6.91,235.62,42.57,0.96,0.02,0.48,1.1,6.13,0.2,0.14,0.58,0,5.97
FCW 735,Long Draw Outlet,LNGO,28-Jul-21,NORM,3.5,1,0.54,6.95,232.1,42.04,0.97,0.02,0.48,1.02,5.95,0.09,0.14,0.54,0,5.78
FCW 811,Long Draw Outlet,LNGO,4-Aug-21,NORM,3,,0.21,6.88,195.97,36.31,0.94,0.05,0.52,0.77,4.68,0.26,0.16,0.56,0,7.44
FCW 871,Long Draw Outlet,LNGO,11-Aug-21,NORM,2.5,6.32,0.38,6.95,292.49,44.66,0.96,0.03,0.55,1.03,6.56,0.28,0.16,0.52,0,7
