IDNo,Site,SiteDescr,SiteLabel,Date,SampleType,Turbidity,TSS,ChlA,DOC,DTN,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4
FCW 292,Poudre Above North Fork,PNF_042621,PNF,26-Apr-21,NORM,,,,5.58,0.33,7.48,708.45,97.46,4.25,0.01,1.01,1.92,10.55,0.1,3.01,0.48,0,5.34
FCW 290,Poudre Below S. Fork,PSF_042621,PSF,26-Apr-21,NORM,,,,4.48,0.22,7.55,484.99,58.75,2.94,0.01,0.84,1.78,5.95,0.11,1.45,0.12,0,3.2
FCW 289,Poudre South Fork,SFM_042621,SFM,26-Apr-21,NORM,,,,4.62,0.4,7.25,382.84,51.62,2.91,0.01,0.86,1.24,4.88,0.07,0.8,0.59,0,3.65
FCW 323,Barnes Meadow Outflow,BMD_050321,BMD,3-May-21,NORM,9,8.21,,10.05,0.73,7.01,142.61,56.42,3.06,0.08,0.92,0.76,5.44,0.06,1.38,0.12,0,14.54
FCW 321,Chambers Inlet,CBRI_050321,CBRI,3-May-21,NORM,1.6,2.2,,5.23,0.52,7.36,112.21,49.14,1.84,0.01,0.85,1.01,4.85,0.06,0.59,0.8,0,13.72
FCW 322,Chambers Outflow,CHD_050321,CHD,3-May-21,NORM,1,0.11,,2.96,0.28,7.1,470.21,64.36,2.33,0.02,0.84,1.34,6.04,0.07,0.99,0.26,0,8.42
FCW 325,Poudre Above Joe Wright,PJW_050321,PJW,3-May-21,NORM,3,3,,6.62,0.53,7.07,269.79,56.5,1.85,0.01,0.87,1.01,4.32,0.07,1.83,0.62,0,13.13
FCW 324,JWC-Joe Wright @ Aspen Glen Campground,JWC_050321,JWC,3-May-21,NORM,,,,5.85,0.8,7.28,501.23,80.42,1.49,0.02,0.94,1.42,7.23,0.07,4.73,0.16,0,14.47
FCW 327,Poudre Below Rustic,PBR_050321,PBR,3-May-21,NORM,,,,6.4,0.51,7.3,475.88,73.28,2.4,0.01,0.88,1.74,6.2,0.08,2.45,0.48,0,14.19
FCW 332,Poudre Above North Fork,PNF_050321,PNF,3-May-21,NORM,,,,7.51,0.48,7.41,568.64,95.41,3.22,0.01,0.95,1.93,10.29,0.17,5.02,0.58,0,12.1
