IDNo,Site,SiteDescr,SiteLabel,Date,SampleType,Turbidity,TSS,ChlA,DOC,DTN,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4
FCW 684,Poudre South Fork,SFM_072621,SFM,26-Jul-21,NORM,,,,6.23,0.36,7.06,277.2,35.51,2.09,0.02,0.42,0.98,3.94,0.06,0.37,0.21,0,2.3
FCW 741,Barnes Meadow Outflow,BMD_072821,BMD,28-Jul-21,NORM,11,2.4,3.37,12.94,0.49,6.92,419.6,73.97,2.31,0.18,1.18,1.37,9.4,0.03,1.48,0.18,0,10.2
FCW 742,Barnes Meadow Reservoir,BRNR_072821,BRNR,28-Jul-21,NORM,3.75,2.8,2.98,12.21,0.33,7.1,446.51,75.4,2.41,0.03,1.19,1.54,9.3,0.03,1.69,0.15,0,10.85
FCW 740,Chambers Inlet,CBRI_072821,CBRI,28-Jul-21,NORM,3,0,0.42,6.8,0.18,7.12,388.51,47.2,1.64,0.03,0.64,1.08,5.73,0.04,0.48,0.18,0,2.79
FCW 743,Chambers Reservoir,CBRR_072821,CBRR,28-Jul-21,NORM,3.5,0,1.74,6.25,0.15,7.28,328.11,41.75,1.37,0.03,0.64,0.95,5.38,0.05,0.45,0.09,0,3.09
FCW 744,Chambers Outflow,CHD_072821,CHD,28-Jul-21,NORM,3.5,3,2.02,6.55,0.16,7.03,433.83,51.21,1.81,0.02,0.93,1.09,7.02,0.04,0.48,0.16,0,3.31
FCW 738,Joe Wright Inlet,JOEI_072821,JOEI,28-Jul-21,NORM,1,0,0.23,5.8,0.15,7.09,398.9,53.21,1.47,0.02,0.34,1.37,7.04,0.07,0.25,0.27,0,5.98
FCW 739,Joe Wright Reservoir,JOER_072821,JOER,28-Jul-21,NORM,2.75,0,0.51,6.74,0.17,7.08,320.99,42.81,1.48,0.03,0.55,1.11,5.88,0.04,0.51,0.01,0,3.12
FCW 735,Long Draw Outlet,LMGO_072821,LNGO,28-Jul-21,NORM,3.5,1,0.54,5.39,0.29,6.95,232.1,42.04,0.97,0.02,0.48,1.02,5.95,0.09,0.14,0.54,0,5.78
FCW 733,Long Draw Reservoir,LNGR_072821,LNGR,28-Jul-21,NORM,5,1.8,0.3,4.21,0.24,7.02,218.2,39.04,0.95,0.02,0.49,0.94,5.64,0.19,0.17,0.4,0,5.01
FCW 734,Long Draw Reservoir,LNGR_072821_DUPE,LNGR,28-Jul-21,DUPLICATE,4.5,1.55,0.31,4.67,0.24,6.88,236.02,41.31,0.93,0.04,0.54,1.05,5.99,0.17,0.21,0.42,0,5.92
FCW 736,Peterson Outlet,PTRO_072821,PTRO,28-Jul-21,NORM,5,0,0.17,9.11,0.53,7.02,208.61,44.99,1.68,0.06,1.29,0.82,5.85,0.01,0.74,0.02,0,6.55
FCW 737,Peterson Reservoir,PTRR_072821,PTRR,28-Jul-21,NORM,6,0,0.44,9.62,0.46,6.92,183.99,40.5,1.63,0.08,1.08,0.73,4.73,0.03,0.72,0.01,0,6.33
FCW 820,Barnes Meadow Outflow,BMD_080421,BMD,4-Aug-21,NORM,11,2.51,3.75,13.22,0.59,6.96,432.13,68.75,2.32,0.25,1.2,1.1,7.19,0.05,1.72,0.3,0,10.41
FCW 821,Barnes Meadow Reservoir,BRNR_080421,BRNR,4-Aug-21,NORM,5,,3.09,12.68,0.45,7.23,427.66,69.75,2.43,0.03,1.25,1.43,9.49,0.05,1.7,0.02,0,12.06
FCW 819,Chambers Inlet,CBRI_080421,CBRI,4-Aug-21,NORM,3.25,,0.47,8.46,0.24,7.11,367.5,39.08,1.77,0.01,0.78,0.9,4.78,0.07,0.63,0.1,0,3.34
FCW 822,Chambers Reservoir,CBRR_080421,CBRR,4-Aug-21,NORM,3.75,,2.53,7.56,0.32,7.17,295.52,34.22,1.34,0.01,0.75,0.72,4.07,0.07,0.43,0.01,0,3.31
FCW 823,Chambers Outflow,CHD_080421,CHD,4-Aug-21,NORM,4.75,5.1,1.72,7.35,0.22,6.99,392.59,47.02,1.58,0.04,0.91,1.05,6.23,0.07,0.54,0.03,0,3.17
FCW 817,Joe Wright Inlet,JOEI_080421,JOEI,4-Aug-21,NORM,2.5,,0.27,6.95,0.24,7.12,422.1,51.38,1.48,0.01,0.47,1.16,5.89,0.13,0.29,0.38,0,6.34
FCW 818,Joe Wright Reservoir,JOER_080421,JOER,4-Aug-21,NORM,2.5,,0.83,6.85,0.17,7.04,324.09,40.82,1.39,0.01,0.62,0.9,5.25,0.09,0.47,0.02,0,3.83
FCW 808,Long Draw Road Tributary,LDRT1_080421,LDRT1,4-Aug-21,NORM,75,,,8.42,0.59,6.77,104.13,36.51,1.36,0.04,1.09,0.73,3.53,0.05,1.95,1.28,0,6.71
FCW 811,Long Draw Outlet,LNGO_080421,LNGO,4-Aug-21,NORM,3,,0.21,5.69,0.31,6.88,195.97,36.31,0.94,0.05,0.52,0.77,4.68,0.26,0.16,0.56,0,7.44
FCW 809,Long Draw Reservoir,LNGR_080421,LNGR,4-Aug-21,NORM,,,0.32,5.8,0.25,6.88,237.68,41.91,0.89,0.03,0.52,0.99,6.07,0.23,0.18,0.4,0,6.2
FCW 813,Peterson Outlet,PTRO_080421,PTRO,4-Aug-21,NORM,4.5,,0.13,10.28,0.56,6.73,182,44.32,1.48,0.13,1.27,0.63,5.9,0.04,0.87,0.42,0,7.4
FCW 814,Peterson Outlet,PTRO_080421,PTRO,4-Aug-21,DUPLICATE,,,0.1,10.38,0.57,6.74,192.36,44.09,1.49,0.15,1.27,0.62,5.98,0.04,0.87,0.42,0,7.41
FCW 816,Peterson Reservoir,PTRR_080421,PTRR,4-Aug-21,NORM,2.25,,0.22,9.76,0.5,6.79,186.58,35.13,1.56,0.12,1.27,0.62,4.05,0.05,0.77,0.17,0,6.89
FCW 807,JWC-Joe Wright @ Aspen Glen Campground,JWC_080421,JWC,4-Aug-21,NORM,,,,7.25,0.25,7.03,343.61,46.63,1.62,0.07,0.74,1.11,5.56,0.05,0.66,0.56,0,3.54
FCW 782,Poudre Below Rustic,PBR_080421,PBR,4-Aug-21,NORM,,,,11.96,0.59,7.08,352.45,46.69,1.7,0.03,0.88,1.21,5.8,0.04,0.72,0.95,0,3.89
FCW 774,Poudre Below S. Fork,PSF_080421,PSF,4-Aug-21,NORM,,,,11.41,0.52,7.17,452.62,57.34,1.72,0.01,1.1,1.2,5.83,0.09,0.73,0.77,0,4.06
FCW 779,Poudre South Fork,SFM_080421,SFM,4-Aug-21,NORM,,,,11.13,0.58,7.05,318.47,37.89,1.89,0.04,0.59,0.93,4.11,0.04,0.42,0.37,0,2.33
FCW 877,Barnes Meadow Outflow,BMD_081121,BMD,11-Aug-21,NORM,15.5,2.88,8.58,12.58,0.64,6.94,464.18,72.7,2.57,0.3,1.31,1.52,7.56,0.07,1.75,0.13,0,10
FCW 878,Barnes Meadow Reservoir,BRNR_081121,BRNR,11-Aug-21,NORM,4.5,,4.81,11.96,0.32,7.3,478.83,84.04,2.74,0.03,1.38,1.58,11.11,0.05,1.79,0.01,0,11.61
FCW 876,Chambers Inlet,CBRI_081121,CBRI,11-Aug-21,NORM,2.5,1.5,0.35,6.77,0.38,7.18,385.95,48.79,1.79,0.04,0.78,1.22,6.56,0.09,0.57,0.06,0,3.24
FCW 879,Chambers Reservoir,CBRR_081121,CBRR,11-Aug-21,NORM,4,,2.47,6.61,0.2,7.23,352.37,46.78,1.54,0.02,0.88,1.03,6.34,0.06,0.55,0.03,0,3.41
FCW 880,Chambers Outflow,CHD_081121,CHD,11-Aug-21,NORM,3.5,,1.91,6.57,0.18,7.17,376.66,47.69,1.51,0.02,0.85,1.05,6.21,0.08,0.47,0.03,0,3.4
FCW 874,Joe Wright Inlet,JOEI_081121,JOEI,11-Aug-21,NORM,3,5.83,0.21,5.03,0.26,7.23,454.77,62.74,1.65,0.02,0.47,1.58,8.71,0.14,0.3,0.55,0,7.2
FCW 875,Joe Wright Reservoir,JOER_081121,JOER,11-Aug-21,NORM,3,,0.83,6.55,0.29,7.16,376.78,45.27,1.46,0.02,0.65,1.27,6.38,0.1,0.45,0.01,0,3.87
FCW 871,Long Draw Outlet,LNGO_081121,LNGO,11-Aug-21,NORM,2.5,6.32,0.38,5.41,0.3,6.95,292.49,44.66,0.96,0.03,0.55,1.03,6.56,0.28,0.16,0.52,0,7
FCW 870,Long Draw Reservoir,LNGO_081121,LNGR,11-Aug-21,NORM,4,,0.42,5.67,0.26,6.99,265.52,43.88,0.95,0.03,0.56,1.11,6.85,0.23,0.17,0.44,0,6.45
FCW 872,Peterson Outlet,PTRO_081121,PTRO,11-Aug-21,NORM,4,2.6,0.61,9.62,0.59,6.84,187.25,41.24,1.62,0.11,1.35,0.59,5.37,0.04,0.79,0.28,0,6.69
FCW 873,Peterson Reservoir,PTRR_081121,PTRR,11-Aug-21,NORM,2,5.83,0.47,9.54,0.62,6.82,202.01,41.5,1.64,0.11,1.35,0.65,5.32,0.06,0.78,0.29,0,6.64
FCW 895,Barnes Meadow Outflow,BMD_081821,BMD,18-Aug-21,NORM,14,,9.42,7.09,0.55,6.67,446.91,63.94,2.44,0.36,1.27,1.48,7.07,0.06,1.75,0.04,0,9.32
FCW 896,Barnes Meadow Reservoir,BRNR_081821,BRNR,18-Aug-21,NORM,4,6.8,2.29,13.56,0.39,6.97,455.52,80.48,2.65,0.06,1.36,1.58,9.48,0.04,1.84,0.01,0,11.22
FCW 894,Chambers Inlet,CBRI_081821,CBRI,18-Aug-21,NORM,3.25,1.8,0.47,7.11,0.15,7.12,443.48,53.35,2.06,0.07,0.86,1.28,7.17,0.06,0.61,0.05,0,3.3
FCW 897,Chambers Reservoir,CBRR_081821,CBRR,18-Aug-21,NORM,4.25,7.5,2.2,6.7,0.24,6.94,321.09,39.55,1.5,0.06,0.83,1.02,4.23,0.06,0.46,0.01,0,3.1
FCW 898,Chambers Outflow,CHD_081821,CHD,18-Aug-21,NORM,3,2.35,1.76,6.72,0.19,6.98,376.8,45.12,1.55,0.04,0.85,1.07,5.61,0.05,0.46,0.01,0,3.21
FCW 892,Joe Wright Inlet,JOEI_081821,JOEI,18-Aug-21,NORM,2.5,4.95,0.37,5.36,0.24,7.18,480.29,68.19,1.8,0.05,0.55,1.69,9.15,0.17,0.32,0.59,0,7.9
FCW 893,Joe Wright Reservoir,JOER_081821,JOER,18-Aug-21,NORM,4.35,1,1.19,6.61,0.18,6.98,394.72,49.08,1.49,0.04,0.67,1.31,6.55,0.12,0.45,0.02,0,4.02
FCW 888,Long Draw Outlet,LNGO_081821,LNGO,18-Aug-21,NORM,3.25,1.6,0.49,5.49,0.27,6.96,365.62,55.32,1.01,0.04,0.57,1.09,7.93,0.28,0.18,0.53,0,7.4
FCW 889,Long Draw Outlet,LNGO_081821,LNGO,18-Aug-21,DUPLICATE,3,0.7,0.51,5.43,0.29,6.98,368.97,55.03,1.02,0.04,0.6,1.07,7.89,0.29,0.2,0.58,0,7.5
FCW 887,Long Draw Reservoir,LNGR_081821,LNGR,18-Aug-21,NORM,3.75,0.78,0.79,5.76,0.31,6.96,244.19,44.94,0.99,0.02,0.58,1.09,7.02,0.27,0.22,0.51,0,7.09
FCW 890,Peterson Outlet,PTRO_081821,PTRO,18-Aug-21,NORM,3.5,1.53,1.06,9.51,0.44,6.96,206.72,43.22,1.71,0.06,1.4,0.62,5.9,0.07,0.82,0.32,0,6.71
FCW 891,Peterson Reservoir,PTRR_081821,PTRR,18-Aug-21,NORM,2,1.2,1.5,9.41,0.46,6.5,217.31,42.73,1.69,0.08,1.38,0.56,5.5,0.06,0.82,0.53,0,6.97
FCW 935,Poudre Above Joe Wright,PJW_082321,PJW,23-Aug-21,NORM,4,0.54,,6.2,0.3,6.94,272.95,40.79,1.37,0.05,0.63,0.96,4.92,0.07,0.36,0.7,0,5
FCW 933,JWC-Joe Wright @ Aspen Glen Campground,JWC_082321,JWC,23-Aug-21,NORM,,,,6.99,0.2,7,371.61,45.08,1.81,0.07,0.73,1.05,5.53,0.04,0.65,0.36,0,2.18
FCW 937,Poudre Below Rustic,PBR_082321,PBR,23-Aug-21,NORM,,,,7.17,0.25,7.08,416.18,52.37,2.1,0.05,0.81,1.23,6.24,0.04,0.79,0.36,0,3.97
FCW 941,Poudre Above North Fork,PNF_082321,PNF,23-Aug-21,NORM,,,,7.81,0.5,7.2,433.66,55.53,2.39,0.03,0.92,1.61,6.32,0.12,1.01,0.23,0,4.69
FCW 939,Poudre Below S. Fork,PSF_082321,PSF,23-Aug-21,NORM,,,,7.3,0.22,7.07,290.51,41.21,2.86,0.13,0.93,0.85,3.59,0.08,1.5,0.26,0,3.7
FCW 938,Poudre South Fork,SFM_082321,SFM,23-Aug-21,NORM,,,,7.09,0.24,6.99,334.67,38.55,2.34,0.05,0.65,0.93,3.96,0.04,0.49,0.3,0,1.61
FCW 967,Barnes Meadow Outflow,BMD_082521,BMD,25-Aug-21,NORM,13,19.96,8.42,6.55,0.49,6.86,441.77,68.56,2.32,0.38,1.23,1.48,7.83,0.04,1.65,0.15,0,8.75
FCW 968,Barnes Meadow Reservoir,BRNR_082521,BRNR,25-Aug-21,NORM,4.2,7.82,1.91,14.03,0.41,7.15,478.99,80.92,2.64,0.02,1.29,1.63,9.59,0.03,1.79,0.02,0,11.09
FCW 966,Chambers Inlet,CBRI_082521,CBRI,25-Aug-21,NORM,3.5,5.83,0.45,7.02,0.18,7.21,456.88,54.51,1.96,0.04,0.82,1.01,7.33,0.05,0.65,0.12,0,3.46
FCW 969,Chambers Reservoir,CBRR_082521,CBRR,25-Aug-21,NORM,4.25,4.73,0.69,6.61,0.24,6.99,311.07,41.53,1.54,0.03,0.89,1.03,5.2,0.07,0.49,0.03,0,3.41
FCW 970,Chambers Outflow,CHD_082521,CHD,25-Aug-21,NORM,2.75,59.42,1.26,6.53,0.23,6.92,359.27,45.5,1.58,0.04,0.91,1.12,5.22,0.04,0.51,0.05,0,3.33
FCW 963,Joe Wright Inlet,JOEI_0782521,JOEI,25-Aug-21,NORM,3,2.41,0.23,5.02,0.23,7.26,482.02,67.53,1.81,0.04,0.55,1.6,8.79,0.14,0.31,0.71,0,7.94
FCW 964,Joe Wright Inlet,JOEI_0782521,JOEI,25-Aug-21,DUPLICATE,3.25,0.8,0.23,5.21,0.26,7.28,466.49,65.75,1.8,0.04,0.54,1.51,8.83,0.1,0.31,0.71,0,7.92
FCW 965,Joe Wright Reservoir,JOER_082521,JOER,25-Aug-21,NORM,2.5,1.65,1.51,6.3,0.2,7.16,381.23,48.45,1.44,0.03,0.6,1.21,6.3,0.09,0.47,0.03,0,3.99
FCW 960,Long Draw Outlet,LNGO_082521,LNGO,25-Aug-21,NORM,3.75,2.02,0.66,5.56,0.28,6.89,344.07,52.14,1.05,0.07,0.58,0.95,7.56,0.25,0.16,0.54,0,7.52
FCW 959,Long Draw Reservoir,LNGR_082521,LNGR,25-Aug-21,NORM,3.5,0.71,0.47,5.65,0.27,7.03,282.06,50.84,1.1,0.05,0.57,0.97,6.67,0.26,0.19,0.54,0.04,7.57
FCW 961,Peterson Outlet,PTRO_082521,PTRO,25-Aug-21,NORM,3.5,3.2,2.69,9.31,0.38,6.81,193.7,43.89,1.76,0.08,1.37,0.43,5.97,0.02,0.93,0.41,0,6.83
FCW 962,Peterson Reservoir,PTRR_082521,PTRR,25-Aug-21,NORM,1.75,2.4,3.03,9.57,0.42,6.73,210.53,41.41,1.72,0.06,1.39,0.42,5.18,0.03,0.97,0.44,0,7.43
FCW 992,Barnes Meadow Outflow,BMD_090121,BMD,1-Sep-21,NORM,13,5,1.23,7.02,0.53,6.9,421.2,65.39,2.41,0.31,1.09,1.51,7.33,0.03,1.56,0.22,0,9.36
FCW 994,Barnes Meadow Reservoir,BRNR_090121,BRNR,1-Sep-21,NORM,4,1.6,0.02,13.96,0.43,7.22,494.3,78.45,2.68,0.04,1.32,1.77,9.66,0.03,1.81,0.03,0,10.23
FCW 991,Chambers Inlet,CBRI_090121,CBRI,1-Sep-21,NORM,4,1.11,0.29,6.83,0.21,7.12,442.21,53.21,1.98,0.03,0.82,1.1,6.98,0.05,0.66,0.09,0,3.45
FCW 995,Chambers Reservoir,CBRR_090121,CBRR,1-Sep-21,NORM,5,0.7,2.6,6.55,0.26,7.02,341.2,43.21,1.55,0.06,0.92,1,5.51,0.07,0.45,0.04,0,3.54
FCW 996,Chambers Outflow,CHD_090121,CHD,1-Sep-21,NORM,3,1.21,1.11,6.49,0.24,7.02,355.4,44.31,1.59,0.04,0.94,1.07,5.4,0.04,0.54,0.06,0,3.41
FCW 989,Joe Wright Inlet,JOEI_090121,JOEI,1-Sep-21,NORM,4,,0.21,4.93,0.27,7.35,470.45,65.03,1.78,0.03,0.48,1.54,8.4,0.14,0.29,0.58,0,7.8
FCW 990,Joe Wright Reservoir,JOER_090121,JOER,1-Sep-21,NORM,2.5,2.2,1.51,6.21,0.19,7.21,387.54,47.32,1.48,0.02,0.6,1.12,6.31,0.08,0.48,0.04,0,3.71
FCW 986,Long Draw Outlet,LNGO_090121,LNGO,1-Sep-21,NORM,4,14.6,0.97,5.31,0.24,7.04,344.48,52.71,1.02,0.04,0.59,1.01,7.45,0.25,0.17,0.48,0,7.34
FCW 985,Long Draw Reservoir,LNGR_090121,LNGR,1-Sep-21,NORM,3.75,,0.77,5.77,0.28,6.9,299.4,48.71,1.03,0.02,0.6,1.03,6.51,0.3,0.18,0.5,0,7.49
FCW 987,Peterson Outlet,PTRO_090121,PTRO,1-Sep-21,NORM,3.7,6.35,2.53,8.67,0.38,7,274,44.78,1.73,0.06,1.38,0.52,5.4,0.03,0.84,0.36,0,6.75
FCW 988,Peterson Reservoir,PTRR_090121,PTRR,1-Sep-21,NORM,2.5,1.92,3.46,8.23,0.4,6.87,196.75,40.47,1.68,0.08,1.38,0.55,5.23,0.03,0.86,0.39,0,7.23
FCW 1005,Barnes Meadow Outflow,BMD_090821,BMD,8-Sep-21,NORM,14,,4.82,7.85,0.6,6.86,408.09,62.84,2.5,0.33,1.09,1.18,6.37,0.03,1.7,0.09,0,8.57
FCW 1006,Barnes Meadow Reservoir,BRNR_090821,BRNR,8-Sep-21,NORM,8,,2.36,11.86,0.42,6.98,425.66,72.15,2.61,0.3,1.29,1.06,9.74,0.04,1.67,0.08,0.09,8.59
FCW 1004,Chambers Inlet,CBRI_090821,CBRI,8-Sep-21,NORM,3.4,,0.37,4.34,0.23,6.99,441.15,53.77,2.12,0.01,0.89,1.29,7.52,0.08,0.7,0.1,0,2.92
FCW 1007,Chambers Reservoir,CBRR_090821,CBRR,8-Sep-21,NORM,5.1,1000.3,0.98,6.65,0.2,6.98,382.51,61.43,1.66,0.01,1.31,1.64,10.32,0.06,1.7,0.03,0,3.4
FCW 1008,Chambers Outflow,CHD_090821,CHD,8-Sep-21,NORM,5.6,,1.38,5.59,0.19,6.93,402.33,45.38,1.61,0.01,0.88,1.19,5.18,0.03,0.57,0.11,0,3.25
FCW 1002,Joe Wright Inlet,JOEI_090821,JOEI,8-Sep-21,NORM,3,,0.14,4.1,0.18,7.09,647.17,68.14,2.67,0.01,0.62,1.23,7.38,0.12,1.39,0.22,0,4.11
FCW 1003,Joe Wright Reservoir,JOER_090821,JOER,8-Sep-21,NORM,3.5,1.2,1.21,4.57,0.19,6.97,373.4,50.97,1.49,0,0.64,1.36,7.02,0.11,0.48,0.03,0,3.91
FCW 998,Long Draw Outlet,LNGO_090821,LNGO,8-Sep-21,NORM,7,2.65,1.2,4.38,0.29,6.93,296.38,51.7,1.1,0.04,0.58,0.9,6.92,0.27,0.16,0.46,0,8.52
FCW 997,Long Draw Reservoir,LNGR_090821,LNGR,8-Sep-21,NORM,6,0.6,1.07,5.37,0.3,6.96,273.78,43.22,1.09,0.03,0.58,0.92,5.04,0.28,0.17,0.47,0,8.58
FCW 999,Peterson Outlet,PTRO_090821,PTRO,8-Sep-21,NORM,10,2.06,1.98,5.66,0.35,6.88,289.65,39.54,2.16,0.03,1.28,0.48,4.45,0.03,1.13,0.11,0,4.65
FCW 1000,Peterson Reservoir,PTRR_090821,PTRR,8-Sep-21,NORM,9.8,2,1.59,7.14,0.46,6.8,186.51,37.03,1.68,0.04,1.31,0.44,3.85,0.03,1.02,0.08,0,7.63
FCW 1001,Peterson Reservoir,PTRR_090821,PTRR,8-Sep-21,DUPLICATE,9.9,,1.51,7.11,0.46,6.81,183.82,37.41,1.72,0.08,1.35,0.46,3.93,0.03,1.06,0.09,0,7.74
FCW 1053,Barnes Meadow Outflow,BMD_091521,BMD,15-Sep-21,NORM,10,5.8,1.16,6.53,0.58,7.05,407.25,64.67,2.53,0.38,1.44,1.17,6.64,0.05,1.69,0.17,0,7.93
FCW 1054,Barnes Meadow Reservoir,BRNR_091521,BRNR,15-Sep-21,NORM,5.4,6.12,3.2,6.29,0.31,7.27,457.45,73.96,2.62,0,1.39,1.08,9,0.06,1.72,0.01,0,11.09
FCW 1051,Chambers Inlet,CBRI_091521,CBRI,15-Sep-21,NORM,5.5,1.93,0.58,4.51,0.21,7.15,345.49,48.1,1.58,0.01,0.76,1.4,6.45,0.08,0.64,0.22,0,3.37
FCW 1052,Chambers Inlet,CBRI_091521,CBRI,15-Sep-21,DUPLICATE,4,3.4,0.53,4.44,0.21,7.13,353.04,47.7,1.6,0.01,0.77,1.4,6.53,0.08,0.68,0.24,0,3.38
FCW 1055,Chambers Reservoir,CBRR_091521,CBRR,15-Sep-21,NORM,5.8,1.12,1.08,5.66,0.2,7.24,379.9,42.71,1.72,0.04,0.93,1.01,4.2,0.07,0.87,0.1,0,3.32
FCW 1056,Chambers Outflow,CHD_091521,CHD,15-Sep-21,NORM,3.8,,1.37,4.55,0.2,7.27,411.76,52.83,1.73,0,0.95,1.08,5.47,0.07,0.59,0.07,0,3.3
FCW 1049,Joe Wright Inlet,JOEI_091521,JOEI,15-Sep-21,NORM,2.5,0.6,0.16,4,0.12,7.63,644.45,71.18,3.24,0.01,0.75,1.69,7.01,0.1,1.98,0.16,0,3.36
FCW 1050,Joe Wright Reservoir,JOER_091521,JOER,15-Sep-21,NORM,4.1,0.2,1.75,3.27,0.16,7.16,370.39,52.16,1.57,0.05,0.74,1.53,7,0.1,0.52,0.04,0,3.98
FCW 1046,Long Draw Outlet,LNGO_091521,LNGO,15-Sep-21,NORM,6.7,1.49,1.8,3.89,0.24,7.05,292.56,49.26,1.17,0.03,0.66,0.85,6.03,0.27,0.18,0.39,0,8.76
FCW 1045,Long Draw Reservoir,LNGR_091521,LNGR,15-Sep-21,NORM,5.2,1.73,1.49,4.56,0.3,7.03,294.03,48.97,1.23,0.05,0.68,0.84,5.54,0.27,0.18,0.42,0,8.8
FCW 1047,Peterson Outlet,PTRO_091521,PTRO,15-Sep-21,NORM,13.5,5.96,1.64,4.21,0.31,7.18,338.97,47.43,2.52,0.13,1.45,0.55,4.72,0.05,1.17,0.16,0,4.23
FCW 1048,Peterson Reservoir,PTRR_091521,PTRR,15-Sep-21,NORM,9,5.34,1.03,4.81,0.43,6.95,200.06,39.13,1.86,0.13,1.45,0.56,3.2,0.03,1.16,0.12,0,7.91
FCW 1063,Comanche Inflow,COMI_092121,COMI,21-Sep-21,NORM,2.1,0.38,0.17,2.34,0.19,6.95,211.21,28.83,2.06,0.02,0.38,0.61,3.14,0.02,0.4,0.49,0,1.96
FCW 1066,Comanche Outflow,COMO_092121,COMO,21-Sep-21,NORM,10,4.9,2.68,2.45,0.24,6.74,253.07,35.43,2.32,0.01,0.49,0.64,3.95,0.03,0.45,0.21,0,2.36
FCW 1064,Comanche Reservoir,COMR_092121,COMR,21-Sep-21,NORM,10.1,2.5,0.68,1.96,0.17,7.32,376.72,35.7,2.34,0.02,0.47,0.46,2.56,0.03,0.46,0.15,0,2.47
FCW 1065,Hourglass Inflow,HORI_092121,HORI,21-Sep-21,NORM,2.1,0.1,0.18,1.04,0.26,6.57,142.36,19.34,1.51,0.03,0.36,0.33,1.65,0.02,0.25,0.6,0,1.48
FCW 1068,Hourglass Outflow,HORO_092121,HORO,21-Sep-21,NORM,3.1,2.5,2.69,0.99,0.16,6.59,164.89,19.83,1.37,0.04,0.39,0.38,1.85,0.04,0.22,0.15,0,1.64
FCW 1067,Hourglass Reservoir,HORR_092121,HORR,21-Sep-21,NORM,3.5,0.58,3.02,1.51,0.16,6.57,160.61,19.82,1.38,0.01,0.38,0.27,1.64,0.04,0.21,0.13,0,1.62
FCW 1093,Barnes Meadow Outflow,BMD_092221,BMD,22-Sep-21,NORM,6.6,,0.96,6.96,0.57,7,317.14,51.09,2.39,0.34,1.18,1.09,4.31,0.07,1.91,0.06,0,6.53
FCW 1094,Barnes Meadow Reservoir,BRNR_092221,BRNR,22-Sep-21,NORM,4,,3.47,7.6,0.3,7.12,440.88,75.08,2.52,0.02,1.26,1.1,8.82,0.05,1.82,0,0,11.06
FCW 1092,Chambers Inlet,CBRI_092221,CBRI,22-Sep-21,NORM,4,,0.92,4.61,0.2,7.02,334.98,46.96,1.58,0.01,0.71,1.33,6.56,0.08,0.63,0.21,0,3.38
FCW 1095,Chambers Reservoir,CBRR_092221,CBRR,22-Sep-21,NORM,3.6,,0.91,5.51,0.18,7.13,393.6,43.34,1.6,0.02,0.83,0.99,4.04,0.07,0.63,0.04,0,3.48
FCW 1096,Chambers Outflow,CHD_092221,CHD,22-Sep-21,NORM,3.5,,1.47,4.31,0.18,7.07,386.35,43.05,1.62,0.06,0.84,1,5.21,0.07,0.64,0,0,3.63
FCW 1090,Joe Wright Inlet,JOEI_092221,JOEI,22-Sep-21,NORM,2.3,,0.1,4.05,0.13,7.33,691.02,71.48,3.34,0.02,0.66,1.65,6.98,0.09,2.12,0.2,0,3.22
FCW 1091,Joe Wright Reservoir,JOER_092221,JOER,22-Sep-21,NORM,2.8,,1.77,3.34,0.15,7.05,355.97,49.47,1.55,0.01,0.67,1.45,7.06,0.1,0.51,0.06,0,3.99
FCW 1086,Long Draw Outlet,LNGO_092221,LNGO,22-Sep-21,NORM,6,,2.57,3.77,0.23,6.96,309.08,49.74,1.23,0.06,0.64,0.87,6.41,0.27,0.18,0.3,0,8.44
FCW 1087,Long Draw Outlet,LNGO_092221,LNGO,22-Sep-21,DUPLICATE,6.5,,2.55,3.74,0.21,6.98,319.32,49.38,1.23,0.05,0.64,0.82,6.26,0.27,0.21,0.3,0,8.47
FCW 1085,Long Draw Reservoir,LNGR_092221,LNGR,22-Sep-21,NORM,5.5,,2.27,4.31,0.28,6.97,309.51,48.47,1.21,0.03,0.65,0.9,5.66,0.27,0.17,0.31,0,8.41
FCW 1088,Peterson Outlet,PTRO_092221,PTRO,22-Sep-21,NORM,10.5,,3.55,4.06,0.32,7.04,338.97,42.77,2.6,0.06,1.41,0.47,3.68,0.06,1.33,0.13,0,3.75
FCW 1089,Peterson Reservoir,PTRR_092221,PTRR,22-Sep-21,NORM,7.4,,1.12,4.73,0.52,6.8,200.15,37.59,1.79,0.13,1.43,0.52,3.12,0.03,1.07,0.12,0,7.84
FCW 1105,Barnes Meadow Outflow,BMD_092821,BMD,28-Sep-21,NORM,9.3,,2.05,6.11,0.6,7.03,349.87,56.95,2.4,0.28,1.29,1.07,5.01,0.05,1.74,0.04,0,7.73
FCW 1106,Barnes Meadow Reservoir,BRNR_092821,BRNR,28-Sep-21,NORM,3.2,,3.1,7.33,0.3,7.18,457.34,68.84,2.65,0.02,1.32,1.01,8.11,0.05,1.95,0.02,0,11.2
FCW 1104,Chambers Inlet,CBRI_092821,CBRI,28-Sep-21,NORM,3.6,,1.18,4.33,0.18,6.98,343.68,48.86,1.46,0.03,0.68,1.34,6.72,0.08,0.58,0.15,0,3.36
